,inputs,energy
30,"[0.3773130774497986, 0.3773130178451538, 0.35035473108291626]",0.210464
31,"[0.4028133153915405, 0.36787956953048706, 0.3385288715362549]",0.217225
32,"[0.4230165481567383, 0.3678795099258423, 0.32549411058425903]",0.232344
33,"[0.3057749271392822, 0.30577516555786133, 0.2923995852470398]",0.053903
34,"[0.3104861378669739, 0.31048643589019775, 0.2840598225593567]",0.052434
35,"[0.33583343029022217, 0.3011941611766815, 0.27259305119514465]",0.05336
36,"[0.32032474875450134, 0.3203246593475342, 0.268599271774292]",0.052748
37,"[0.3561462163925171, 0.3011941611766815, 0.2600466012954712]",0.059984
38,"[0.2509779930114746, 0.2509782612323761, 0.2382170706987381]",-0.02401
39,"[0.2623682916164398, 0.24659694731235504, 0.2323840856552124]",-0.027204
40,"[0.2554951012134552, 0.2554953694343567, 0.23030921816825867]",-0.027153
41,"[0.2799915075302124, 0.24659691751003265, 0.2194996476173401]",-0.031
42,"[0.2998473048210144, 0.24659691751003265, 0.20775899291038513]",-0.030914
43,"[0.17901387810707092, 0.16529887914657593, 0.1531519740819931]",-0.083241
44,"[0.17300722002983093, 0.173007071018219, 0.15139612555503845]",-0.083058
45,"[0.19461967051029205, 0.16529899835586548, 0.1423221379518509]",-0.093506
46,"[0.18129494786262512, 0.18129494786262512, 0.13920588791370392]",-0.092924
47,"[0.21254107356071472, 0.16529889404773712, 0.1326102465391159]",-0.102
48,"[0.11100810766220093, 0.10025884956121445, 0.09094277024269104]",-0.082041
49,"[0.10627110302448273, 0.10627099871635437, 0.08961253613233566]",-0.081687
50,"[0.12352026253938675, 0.10025879740715027, 0.08280757814645767]",-0.09542
51,"[0.11281882971525192, 0.11281882971525192, 0.08049789071083069]",-0.094036
52,"[0.1382361352443695, 0.10025884956121445, 0.07565690577030182]",-0.108473
53,"[0.06299008429050446, 0.06299005448818207, 0.05674733594059944]",-0.053835
54,"[0.06527788937091827, 0.0652778297662735, 0.05304235219955444]",-0.059828
55,"[0.07839525490999222, 0.06081003695726395, 0.048180095851421356]",-0.07329
56,"[0.08990839868783951, 0.060810066759586334, 0.04316385090351105]",-0.086843
57,"[0.042436521500349045, 0.04243650287389755, 0.037665002048015594]",-0.037015
58,"[0.04803689569234848, 0.04803687334060669, 0.03003404289484024]",-0.051454
59,"[0.06372985988855362, 0.04076218232512474, 0.027550971135497093]",-0.065954
