,inputs,energy
0,"[0.17604775726795197, 0.16914483904838562, 0.029777567833662033]",-0.1591876
1,"[0.17256177961826324, 0.17256179451942444, 0.02990862727165222]",-0.159095
2,"[0.3011941909790039, 0.1495686173439026, 0.04504920542240143]",-0.136094
3,"[0.3011941909790039, 0.1353352963924408, 0.04076221212744713]",-0.139802
4,"[0.27253180742263794, 0.16529887914657593, 0.04504920542240143]",-0.144387
5,"[0.24659697711467743, 0.201896533370018, 0.049787066876888275]",-0.144038
6,"[0.22313016653060913, 0.1353352814912796, 0.03019738383591175]",-0.159952
7,"[0.2018965184688568, 0.16529889404773712, 0.03337327390909195]",-0.158668
8,"[0.18268351256847382, 0.1164841502904892, 0.02127973921597004]",-0.158744
9,"[0.1353352814912796, 0.1353352814912796, 0.018315639346837997]",-0.151702
10,"[0.1353352814912796, 0.049787066876888275, 0.0067379469983279705]",-0.137665
11,"[0.1353352814912796, 0.018315639346837997, 0.0024787522852420807]",-0.137929
12,"[0.1353352814912796, 0.0067379469983279705, 0.0009118819725699723]",-0.138302
13,"[0.20600104331970215, 0.20600101351737976, 0.19407464563846588]",-0.061672
14,"[0.21671980619430542, 0.20189644396305084, 0.1886533498764038]",-0.066324
15,"[0.21024367213249207, 0.2102438509464264, 0.1867295354604721]",-0.066197
16,"[0.23343491554260254, 0.20189644396305084, 0.1767474263906479]",-0.073838
17,"[0.21917296946048737, 0.21917299926280975, 0.17330318689346313]",-0.073629
18,"[0.25244802236557007, 0.20189660787582397, 0.16598497331142426]",-0.078746
19,"[0.13878324627876282, 0.13878323137760162, 0.12881344556808472]",-0.081328
20,"[0.14786790311336517, 0.13533532619476318, 0.12433148175477982]",-0.087694
21,"[0.1423654407262802, 0.14236536622047424, 0.12274851649999619]",-0.087513
22,"[0.16225826740264893, 0.1353352814912796, 0.11460183560848236]",-0.099743
23,"[0.14996309578418732, 0.14996309578418732, 0.11181720346212387]",-0.098875
24,"[0.1789429932832718, 0.13533525168895721, 0.10594627261161804]",-0.110741
25,"[0.08470741659402847, 0.0847073569893837, 0.07717052102088928]",-0.067264
26,"[0.09169420599937439, 0.08208499848842621, 0.07382883131504059]",-0.074148
27,"[0.08744913339614868, 0.0874490737915039, 0.07265578955411911]",-0.073743
28,"[0.10298149287700653, 0.0820850357413292, 0.06667906045913696]",-0.087687
29,"[0.09332120418548584, 0.09332118183374405, 0.0646599754691124]",-0.086062
30,"[0.11638401448726654, 0.08208499848842621, 0.06044456735253334]",-0.101283
31,"[0.4538738429546356, 0.4538734555244446, 0.44053915143013]",0.526242
32,"[0.46553221344947815, 0.449329137802124, 0.43434274196624756]",0.530072
33,"[0.45852336287498474, 0.4585234522819519, 0.4321218430995941]",0.529994
34,"[0.48315101861953735, 0.44932907819747925, 0.4204135835170746]",0.545292
35,"[0.46815961599349976, 0.4681592285633087, 0.41629713773727417]",0.544455
36,"[0.5024415254592896, 0.449328750371933, 0.4074123501777649]",0.57201
37,"[0.41119900345802307, 0.4111987352371216, 0.3976331353187561]",0.340954
38,"[0.4231003224849701, 0.40656983852386475, 0.3913465440273285]",0.342758
39,"[0.41594094038009644, 0.415941059589386, 0.389096200466156]",0.342461
40,"[0.44115719199180603, 0.40656954050064087, 0.37725600600242615]",0.352695
41,"[0.42578786611557007, 0.42578762769699097, 0.37310343980789185]",0.351263
42,"[0.4610217809677124, 0.40656977891921997, 0.36415714025497437]",0.37286
43,"[0.3725365996360779, 0.37253639101982117, 0.3589059114456177]",0.210035
44,"[0.3845359683036804, 0.36787959933280945, 0.3526065945625305]",0.210521
45,"[0.3773130774497986, 0.3773130178451538, 0.35035473108291626]",0.210464
46,"[0.4028133153915405, 0.36787956953048706, 0.3385288715362549]",0.217225
47,"[0.38725030422210693, 0.3872506022453308, 0.33439067006111145]",0.21608
48,"[0.4230165481567383, 0.3678795099258423, 0.32549411058425903]",0.232344
49,"[0.3057749271392822, 0.30577516555786133, 0.2923995852470398]",0.053903
50,"[0.31763193011283875, 0.3011941909790039, 0.2862519919872284]",0.052456
51,"[0.3104861378669739, 0.31048643589019775, 0.2840598225593567]",0.052434
52,"[0.33583343029022217, 0.3011941611766815, 0.27259305119514465]",0.05336
53,"[0.32032474875450134, 0.3203246593475342, 0.268599271774292]",0.052748
54,"[0.3561462163925171, 0.3011941611766815, 0.2600466012954712]",0.059984
55,"[0.2509779930114746, 0.2509782612323761, 0.2382170706987381]",-0.02401
56,"[0.2623682916164398, 0.24659694731235504, 0.2323840856552124]",-0.027204
57,"[0.2554951012134552, 0.2554953694343567, 0.23030921816825867]",-0.027153
58,"[0.2799915075302124, 0.24659691751003265, 0.2194996476173401]",-0.031
59,"[0.2649654150009155, 0.2649652361869812, 0.21575263142585754]",-0.031189
60,"[0.2998473048210144, 0.24659691751003265, 0.20775899291038513]",-0.030914
61,"[0.16908426582813263, 0.1690843105316162, 0.158112034201622]",-0.077525
62,"[0.17901387810707092, 0.16529887914657593, 0.1531519740819931]",-0.083241
63,"[0.17300722002983093, 0.173007071018219, 0.15139612555503845]",-0.083058
64,"[0.19461967051029205, 0.16529899835586548, 0.1423221379518509]",-0.093506
65,"[0.18129494786262512, 0.18129494786262512, 0.13920588791370392]",-0.092924
66,"[0.21254107356071472, 0.16529889404773712, 0.1326102465391159]",-0.102
67,"[0.10320189595222473, 0.10320194065570831, 0.09472300112247467]",-0.075105
68,"[0.11100810766220093, 0.10025884956121445, 0.09094277024269104]",-0.082041
69,"[0.10627110302448273, 0.10627099871635437, 0.08961253613233566]",-0.081687
70,"[0.12352026253938675, 0.10025879740715027, 0.08280757814645767]",-0.09542
71,"[0.11281882971525192, 0.11281882971525192, 0.08049789071083069]",-0.094036
72,"[0.1382361352443695, 0.10025884956121445, 0.07565690577030182]",-0.108473
73,"[0.06299008429050446, 0.06299005448818207, 0.05674733594059944]",-0.053835
74,"[0.06883712857961655, 0.06081003695726395, 0.054002393037080765]",-0.060303
75,"[0.06527788937091827, 0.0652778297662735, 0.05304235219955444]",-0.059828
76,"[0.07839525490999222, 0.06081003695726395, 0.048180095851421356]",-0.07329
77,"[0.07020653784275055, 0.07020658254623413, 0.04654915630817413]",-0.071337
78,"[0.08990839868783951, 0.060810066759586334, 0.04316385090351105]",-0.086843
79,"[0.042436521500349045, 0.04243650287389755, 0.037665002048015594]",-0.037015
80,"[0.04696756228804588, 0.040762223303318024, 0.03559013828635216]",-0.042432
81,"[0.044202499091625214, 0.04420248791575432, 0.03486790508031845]",-0.041901
82,"[0.054491858929395676, 0.04076223075389862, 0.031239667907357216]",-0.053631
83,"[0.04803689569234848, 0.04803687334060669, 0.03003404289484024]",-0.051454
84,"[0.06372985988855362, 0.04076218232512474, 0.027550971135497093]",-0.065954
85,"[0.23223626613616943, 0.08433148264884949, 0.01958482712507248]",-0.165088
86,"[0.17377394437789917, 0.16529889404773712, 0.028724640607833862]",-0.159189
87,"[0.12245643883943558, 0.12245643883943558, 0.0775526836514473]",-0.104062
88,"[0.12245643883943558, 0.12245646864175797, 0.017302779480814934]",-0.144104
89,"[0.23480497300624847, 0.22576647996902466, 0.22576647996902466]",-0.040498
90,"[0.3011941909790039, 0.21802303194999695, 0.21802303194999695]",-0.037321
91,"[0.24809736013412476, 0.2463504821062088, 0.17906880378723145]",-0.062264
92,"[0.2463504821062088, 0.20898950099945068, 0.20898950099945068]",-0.055779
93,"[0.3178543448448181, 0.2348049432039261, 0.14777030050754547]",-0.057737
94,"[0.2973979711532593, 0.23480503261089325, 0.15402892231941223]",-0.064519
95,"[0.24660928547382355, 0.23480486869812012, 0.1764145791530609]",-0.066532
96,"[0.23480497300624847, 0.2188776433467865, 0.19564110040664673]",-0.059538
97,"[0.23480497300624847, 0.20672690868377686, 0.20672690868377686]",-0.05752
98,"[0.22313016653060913, 0.20428524911403656, 0.20428524911403656]",-0.058578
99,"[0.19440066814422607, 0.1944006383419037, 0.18268346786499023]",-0.068143
100,"[0.2463504821062088, 0.19099538028240204, 0.19099538028240204]",-0.070693
101,"[0.38876819610595703, 0.2348049134016037, 0.1155494749546051]",-0.014072
102,"[0.32868480682373047, 0.23480500280857086, 0.12536992132663727]",-0.062476
103,"[0.2914479374885559, 0.23480486869812012, 0.13433358073234558]",-0.077413
104,"[0.2727258801460266, 0.2348049432039261, 0.14014075696468353]",-0.080969
105,"[0.23480497300624847, 0.22595947980880737, 0.16091683506965637]",-0.078892
106,"[0.23480497300624847, 0.18903875350952148, 0.18903875350952148]",-0.072035
107,"[0.26571419835090637, 0.24635039269924164, 0.12437678128480911]",-0.088785
108,"[0.2463504821062088, 0.20767265558242798, 0.14875072240829468]",-0.087547
109,"[0.2463504821062088, 0.17436134815216064, 0.17436134815216064]",-0.083532
110,"[0.3987143635749817, 0.23480500280857086, 0.0995151624083519]",-0.009456
111,"[0.3542196750640869, 0.2348049432039261, 0.1046954095363617]",-0.053322
112,"[0.3004998564720154, 0.23480506241321564, 0.11377467215061188]",-0.084239
113,"[0.2667338252067566, 0.23480509221553802, 0.12206584215164185]",-0.092769
114,"[0.24964982271194458, 0.2348049432039261, 0.1274385154247284]",-0.094132
115,"[0.23480497300624847, 0.2067299783229828, 0.14666256308555603]",-0.08991
116,"[0.23480497300624847, 0.17266733944416046, 0.17266733944416046]",-0.084551
117,"[0.36145707964897156, 0.23480500280857086, 0.09007367491722107]",-0.053875
118,"[0.322360098361969, 0.2348048985004425, 0.0948501005768776]",-0.081715
119,"[0.2743150591850281, 0.2348049432039261, 0.10322534292936325]",-0.100638
120,"[0.24374468624591827, 0.2348049134016037, 0.11087661981582642]",-0.10486
121,"[0.23480497300624847, 0.22818870842456818, 0.11583531647920609]",-0.104859
122,"[0.23480497300624847, 0.18889975547790527, 0.13357804715633392]",-0.099701
123,"[0.23480497300624847, 0.15756064653396606, 0.15756064653396606]",-0.095436
124,"[0.24801699817180634, 0.18268345296382904, 0.10045435279607773]",-0.11778
125,"[0.18268351256847382, 0.1494702696800232, 0.1494702696800232]",-0.089915
126,"[0.24953202903270721, 0.13533532619476318, 0.08898432552814484]",-0.129199
127,"[0.012955148704349995, 0.012955136597156525, 0.00033546279883012176]",-0.013098
128,"[0.3678794503211975, 0.22559164464473724, 0.11277259886264801]",-0.040633
129,"[0.3678794503211975, 0.2089848816394806, 0.11905156075954437]",-0.043466
130,"[0.3678794503211975, 0.2000179886817932, 0.12304157763719559]",-0.044536
131,"[0.3678794503211975, 0.16110758483409882, 0.14812776446342468]",-0.046563
132,"[0.3678794503211975, 0.15440842509269714, 0.15440842509269714]",-0.04657
133,"[0.33287107944488525, 0.21246406435966492, 0.1147916167974472]",-0.072086
134,"[0.33287107944488525, 0.15226194262504578, 0.15226194262504578]",-0.07394
135,"[0.3011941909790039, 0.29220956563949585, 0.09212426841259003]",-0.071453
136,"[0.3011941909790039, 0.26845791935920715, 0.09643031656742096]",-0.080707
137,"[0.3011941909790039, 0.2370060533285141, 0.10389596968889236]",-0.088352
138,"[0.3011941909790039, 0.2156876027584076, 0.11062519252300262]",-0.090902
139,"[0.3011941909790039, 0.20444607734680176, 0.11494161188602448]",-0.091485
140,"[0.3011941909790039, 0.17484912276268005, 0.13011011481285095]",-0.09134
141,"[0.3011941909790039, 0.15769538283348083, 0.14279520511627197]",-0.090883
142,"[0.3011941909790039, 0.14996302127838135, 0.14996302127838135]",-0.090787
143,"[0.27253180742263794, 0.21863272786140442, 0.10655604302883148]",-0.103298
144,"[0.3330375850200653, 0.2463504821062088, 0.08204396814107895]",-0.076753
145,"[0.32048943638801575, 0.24635063111782074, 0.08347079157829285]",-0.084628
146,"[0.288318932056427, 0.24635057151317596, 0.08786054700613022]",-0.099871
147,"[0.24770024418830872, 0.24635060131549835, 0.09554423391819]",-0.109899
148,"[0.2463504821062088, 0.22130273282527924, 0.1025480180978775]",-0.111578
149,"[0.2463504821062088, 0.20772087574005127, 0.1070789322257042]",-0.111104
150,"[0.2463504821062088, 0.1730065941810608, 0.12323598563671112]",-0.107043
151,"[0.2463504821062088, 0.14493034780025482, 0.14493034780025482]",-0.104373
152,"[0.3411271572113037, 0.23480497300624847, 0.08009836077690125]",-0.075878
153,"[0.32757049798965454, 0.23480497300624847, 0.0815257877111435]",-0.084967
154,"[0.29309865832328796, 0.2348049432039261, 0.08592191338539124]",-0.102215
155,"[0.2501071095466614, 0.23480500280857086, 0.09363321959972382]",-0.113186
156,"[0.23480497300624847, 0.22245831787586212, 0.10067978501319885]",-0.114524
157,"[0.23480497300624847, 0.20831704139709473, 0.10524710267782211]",-0.113717
158,"[0.23480497300624847, 0.17242446541786194, 0.12158777564764023]",-0.108395
159,"[0.23480497300624847, 0.15246117115020752, 0.13559897243976593]",-0.105377
160,"[0.23480497300624847, 0.14365580677986145, 0.14365580677986145]",-0.104944
161,"[0.2255895733833313, 0.20189663767814636, 0.09495916217565536]",-0.121299
162,"[0.386741042137146, 0.182683527469635, 0.07065122574567795]",-0.053937
163,"[0.36663883924484253, 0.18268358707427979, 0.07206021994352341]",-0.073599
164,"[0.3180241584777832, 0.18268351256847382, 0.07642191648483276]",-0.107157
165,"[0.26153790950775146, 0.18268360197544098, 0.08415244519710541]",-0.12444
166,"[0.22722241282463074, 0.18268346786499023, 0.09130289405584335]",-0.12464
167,"[0.21021004021167755, 0.1826835572719574, 0.095980703830719]",-0.12201
168,"[0.18268351256847382, 0.16853812336921692, 0.11298752576112747]",-0.108455
169,"[0.18268351256847382, 0.13661304116249084, 0.13661304116249084]",-0.098393
170,"[0.22848744690418243, 0.16529884934425354, 0.08775278925895691]",-0.127615
171,"[0.229875385761261, 0.1353352814912796, 0.08097171038389206]",-0.133213
172,"[0.1353352814912796, 0.1275654286146164, 0.1275654286146164]",-0.079747
173,"[0.21433179080486298, 0.053189925849437714, 0.04978708177804947]",-0.154585
174,"[0.30866459012031555, 0.2348049432039261, 0.07247598469257355]",-0.101238
175,"[0.2967853844165802, 0.23480477929115295, 0.07378742843866348]",-0.106894
176,"[0.266303151845932, 0.23480506241321564, 0.07782726734876633]",-0.117194
177,"[0.23480497300624847, 0.22780968248844147, 0.08491560816764832]",-0.122753
178,"[0.23480497300624847, 0.20282112061977386, 0.09139419347047806]",-0.122376
179,"[0.23480497300624847, 0.1899816393852234, 0.09559376537799835]",-0.121154
180,"[0.23480497300624847, 0.1572437435388565, 0.11061567068099976]",-0.116073
181,"[0.23480497300624847, 0.13088379800319672, 0.13088379800319672]",-0.113299
182,"[0.3678794503211975, 0.17215734720230103, 0.09780286252498627]",-0.06366
183,"[0.3678794503211975, 0.1648406833410263, 0.10113610327243805]",-0.064184
184,"[0.3678794503211975, 0.12725621461868286, 0.12725621461868286]",-0.065038
185,"[0.33287107944488525, 0.17528212070465088, 0.09435881674289703]",-0.091394
186,"[0.33287107944488525, 0.125651016831398, 0.125651016831398]",-0.091803
187,"[0.3011941909790039, 0.22080472111701965, 0.07907073944807053]",-0.105785
188,"[0.3011941909790039, 0.19556675851345062, 0.0853402242064476]",-0.108543
189,"[0.3011941909790039, 0.17823843657970428, 0.09098990261554718]",-0.109128
190,"[0.3011941909790039, 0.16903674602508545, 0.09461252391338348]",-0.109178
191,"[0.3011941909790039, 0.12392715364694595, 0.12392715364694595]",-0.108023
192,"[0.27253180742263794, 0.18100924789905548, 0.0876987874507904]",-0.120189
193,"[0.27266809344291687, 0.2463504821062088, 0.06717191636562347]",-0.117349
194,"[0.2463504821062088, 0.23771171271800995, 0.07207292318344116]",-0.125449
195,"[0.2463504821062088, 0.20513127744197845, 0.0785503163933754]",-0.127682
196,"[0.2463504821062088, 0.18360251188278198, 0.0844559520483017]",-0.126781
197,"[0.2463504821062088, 0.17243161797523499, 0.08827639371156693]",-0.125754
198,"[0.2463504821062088, 0.12013642489910126, 0.12013642489910126]",-0.120349
199,"[0.2792912721633911, 0.23480497300624847, 0.06557897478342056]",-0.118959
200,"[0.2688402533531189, 0.2348048985004425, 0.06678231805562973]",-0.122308
201,"[0.24181991815567017, 0.23480480909347534, 0.07048960030078888]",-0.128057
