,Ahalf,Y,Z,E
143,0.65,1.469694,1.03923,-0.103298
144,0.54975,0.0,1.95075,-0.076753
145,0.568953,0.573589,1.847153,-0.084628
146,0.621844,1.01384,1.588761,-0.099871
147,0.697768,1.277776,1.272301,-0.109899
148,0.7005,1.469694,1.03923,-0.111578
149,0.7005,1.558846,0.9,-0.111104
150,0.7005,1.738666,0.465874,-0.107043
151,0.7005,1.8,0.0,-0.104373
152,0.53775,0.0,1.98675,-0.075878
153,0.558026,0.604857,1.874745,-0.084967
154,0.613623,1.062623,1.598729,-0.102215
155,0.692933,1.330775,1.266203,-0.113186
156,0.7245,1.469694,1.03923,-0.114524
157,0.7245,1.558846,0.9,-0.113717
158,0.7245,1.738666,0.465874,-0.108395
159,0.7245,1.79315,0.15688,-0.105377
160,0.7245,1.8,0.0,-0.104944
161,0.744519,1.579215,1.001576,-0.121299
162,0.475,0.0,2.175,-0.053937
163,0.501689,0.78932,2.007336,-0.073599
164,0.572814,1.335513,1.624672,-0.107157
165,0.670588,1.61332,1.206496,-0.12444
166,0.740913,1.686082,0.958004,-0.12464
167,0.779824,1.699126,0.834323,-0.12201
168,0.85,1.738666,0.465874,-0.108455
169,0.85,1.8,0.0,-0.098393
170,0.738137,1.791977,0.907899,-0.127615
171,0.735109,1.999288,0.788476,-0.133213
172,1.0,1.8,0.0,-0.079747
173,0.770115,2.862612,0.127354,-0.154585
174,0.58775,0.0,2.03675,-0.101238
175,0.607373,0.586587,1.932333,-0.106894
176,0.66156,1.040382,1.670126,-0.117194
177,0.7245,1.343503,1.343503,-0.122753
178,0.7245,1.551344,1.096966,-0.122376
179,0.7245,1.645448,0.95,-0.121154
180,0.7245,1.835259,0.491756,-0.116073
181,0.7245,1.9,0.0,-0.113299
182,0.5,1.632993,1.154701,-0.06366
183,0.5,1.732051,1.0,-0.064184
184,0.5,2.0,0.0,-0.065038
185,0.55,1.632993,1.154701,-0.091394
186,0.55,2.0,0.0,-0.091803
187,0.6,1.0,1.732051,-0.105785
188,0.6,1.414214,1.414214,-0.108543
189,0.6,1.632993,1.154701,-0.109128
190,0.6,1.732051,1.0,-0.109178
191,0.6,2.0,0.0,-0.108023
192,0.65,1.632993,1.154701,-0.120189
193,0.64975,0.0,2.05075,-0.117349
194,0.7005,1.0,1.732051,-0.125449
195,0.7005,1.414214,1.414214,-0.127682
196,0.7005,1.632993,1.154701,-0.126781
197,0.7005,1.732051,1.0,-0.125754
198,0.7005,2.0,0.0,-0.120349
199,0.63775,0.0,2.08675,-0.118959
200,0.656819,0.570977,1.98858,-0.122308
201,0.709781,1.020737,1.738226,-0.128057
202,0.7245,1.414214,1.414214,-0.130189
203,0.7245,1.632993,1.154701,-0.128827
204,0.7245,1.732051,1.0,-0.127454
205,0.7245,1.931852,0.517638,-0.122871
206,0.7245,2.0,0.0,-0.120686
207,0.8,1.632993,1.154701,-0.132572
208,0.575,0.0,2.275,-0.117052
209,0.666711,1.274915,1.791251,-0.135524
210,0.761304,1.578976,1.391252,-0.13789
211,0.830589,1.671157,1.14241,-0.133775
212,0.85,1.732051,1.0,-0.130238
213,0.85,2.0,0.0,-0.112611
214,0.826368,1.778497,1.103763,-0.134625
215,0.820152,1.991085,1.008776,-0.136512
216,1.0,2.0,0.0,-0.092227
217,0.834551,2.935101,0.213918,-0.149706
218,1.25,2.4,0.55,-0.083968
219,0.7245,0.0,2.1735,-0.138066
220,0.5,1.796292,1.270171,-0.078463
221,0.5,1.905256,1.1,-0.078731
222,0.5,2.2,0.0,-0.079196
223,0.55,1.1,1.905256,-0.103992
224,0.55,1.555635,1.555635,-0.105129
225,0.55,1.796292,1.270171,-0.105521
226,0.55,1.905256,1.1,-0.105629
227,0.55,2.2,0.0,-0.1055
228,0.6,1.555635,1.555635,-0.122393
229,0.6,1.796292,1.270171,-0.122385
230,0.6,1.905256,1.1,-0.122218
231,0.6,2.2,0.0,-0.121255
232,0.65,1.1,1.905256,-0.132771
233,0.65,1.555635,1.555635,-0.132902
234,0.65,1.796292,1.270171,-0.132288
235,0.65,1.905256,1.1,-0.131785
236,0.65,2.2,0.0,-0.129618
237,0.7005,0.0,2.2,-0.137863
238,0.7005,1.1,1.905256,-0.139685
239,0.7005,1.555635,1.555635,-0.139033
240,0.7005,1.796292,1.270171,-0.13756
241,0.7005,1.905256,1.1,-0.13656
242,0.7005,2.2,0.0,-0.132704
243,0.7245,0.0,2.2,-0.140098
244,0.7245,0.569402,2.125037,-0.14102
245,0.7245,1.1,1.905256,-0.141947
246,0.7245,1.555635,1.555635,-0.140857
247,0.7245,1.796292,1.270171,-0.138897
248,0.7245,1.905256,1.1,-0.137625
249,0.7245,2.125037,0.569402,-0.134227
250,0.7245,2.2,0.0,-0.132774
251,0.779678,1.128671,1.913742,-0.146511
252,0.8,1.555635,1.555635,-0.143782
253,0.8,1.796292,1.270171,-0.140003
254,0.8,1.905256,1.1,-0.137676
255,0.8,2.2,0.0,-0.128839
256,0.675,0.0,2.375,-0.144796
257,0.762162,1.226773,1.939034,-0.148272
258,0.85,1.555635,1.555635,-0.144463
259,0.85,1.796292,1.270171,-0.139302
260,0.85,1.905256,1.1,-0.13606
261,0.85,2.2,0.0,-0.123693
262,0.745074,1.328728,1.959357,-0.14961
263,0.844076,1.658703,1.54315,-0.144837
264,0.9,1.796292,1.270171,-0.138163
265,0.9,1.905256,1.1,-0.133932
266,0.908248,1.977755,1.205712,-0.136197
267,1.0,2.2,0.0,-0.102161
268,0.905468,2.975742,0.524732,-0.141462
269,0.5,2.041241,1.443376,-0.094162
270,0.6,1.25,2.165064,-0.136427
271,0.6,1.767767,1.767767,-0.136468
272,0.6,2.041241,1.443376,-0.136301
273,0.6,2.165064,1.25,-0.136204
274,0.6,2.5,0.0,-0.135757
275,0.65,0.0,2.5,-0.146297
276,0.65,1.25,2.165064,-0.146173
277,0.65,1.767767,1.767767,-0.145634
278,0.65,2.041241,1.443376,-0.145089
279,0.65,2.165064,1.25,-0.14476
280,0.65,2.5,0.0,-0.143671
281,0.7005,0.0,2.5,-0.15227
282,0.7005,1.25,2.165064,-0.151448
283,0.7005,1.767767,1.767767,-0.150072
284,0.7005,2.041241,1.443376,-0.148935
285,0.7005,2.165064,1.25,-0.148316
286,0.7005,2.5,0.0,-0.146315
287,0.7245,0.0,2.5,-0.154039
288,0.7245,0.647048,2.414815,-0.153816
289,0.7245,1.25,2.165064,-0.152857
290,0.7245,1.767767,1.767767,-0.150991
291,0.7245,2.041241,1.443376,-0.149496
292,0.7245,2.165064,1.25,-0.148704
293,0.7245,2.414815,0.647048,-0.146874
294,0.7245,2.5,0.0,-0.146185
295,0.825,0.0,2.525,-0.158015
296,0.85,1.25,2.165064,-0.154311
297,0.85,1.767767,1.767767,-0.14889
298,0.85,2.041241,1.443376,-0.144778
299,0.85,2.165064,1.25,-0.142632
300,0.85,2.5,0.0,-0.135995
301,0.889225,1.265146,2.169618,-0.153945
302,0.9,1.767767,1.767767,-0.146696
303,0.9,2.041241,1.443376,-0.141161
304,0.9,2.165064,1.25,-0.138258
305,0.9,2.5,0.0,-0.129159
306,1.0,2.041241,1.443376,-0.133766
307,1.021013,2.998846,0.937825,-0.124963
308,1.457738,2.572479,0.085749,-0.046105
309,0.878256,0.229283,2.620232,-0.159059
310,0.87835,0.045995,2.634748,-0.159206
311,0.8685,0.0,2.645,-0.159223
312,0.8685,2.6455,0.0,-0.138064
313,0.5,2.44949,1.732051,-0.109775
314,0.6,2.44949,1.732051,-0.150478
315,0.65,0.0,3.0,-0.158788
316,0.65,1.5,2.598076,-0.158599
317,0.65,2.44949,1.732051,-0.158257
318,0.65,2.598076,1.5,-0.158194
319,0.65,3.0,0.0,-0.158006
320,0.7005,0.0,3.0,-0.162379
321,0.7005,2.44949,1.732051,-0.160904
322,0.7005,3.0,0.0,-0.160254
323,0.7245,0.0,3.0,-0.162869
324,0.7245,0.776457,2.897777,-0.162648
325,0.7245,1.5,2.598076,-0.16206
326,0.7245,2.12132,2.12132,-0.161278
327,0.7245,2.44949,1.732051,-0.160799
328,0.7245,2.598076,1.5,-0.160567
329,0.7245,2.897777,0.776457,-0.160092
330,0.7245,3.0,0.0,-0.159922
331,0.85,1.5,2.598076,-0.155735
332,0.85,2.12132,2.12132,-0.153063
333,0.85,2.44949,1.732051,-0.151475
334,0.85,2.598076,1.5,-0.150745
335,0.85,3.0,0.0,-0.14878
336,0.9,2.44949,1.732051,-0.145399
337,1.0,2.44949,1.732051,-0.132015
338,1.0,3.0,0.0,-0.125092
339,1.230228,2.986628,1.513165,-0.094765
340,1.5,3.0,0.0,-0.046396
341,0.7245,0.0,3.5,-0.167885
342,0.7245,0.905867,3.38074,-0.167831
343,0.7245,1.75,3.031089,-0.167691
344,0.7245,2.474874,2.474874,-0.167527
345,0.7245,2.857738,2.020726,-0.167438
346,0.7245,3.031089,1.75,-0.167407
347,0.7245,3.38074,0.905867,-0.167328
348,0.7245,3.5,0.0,-0.167302
349,0.85,0.0,3.5,-0.158648
350,0.85,3.5,0.0,-0.15576
351,1.0,0.0,3.5,-0.141045
352,1.0,2.857738,2.020726,-0.133539
353,0.5,3.265986,2.309401,-0.121747
354,0.55,3.265986,2.309401,-0.147206
355,0.6,3.265986,2.309401,-0.161981
356,0.65,3.265986,2.309401,-0.169357
357,0.7005,0.0,4.0,-0.171478
358,0.7005,3.265986,2.309401,-0.171476
359,0.7005,4.0,0.0,-0.171506
360,0.7245,0.0,4.0,-0.171115
361,0.7245,1.035276,3.863703,-0.171119
362,0.7245,2.0,3.464102,-0.171111
363,0.7245,2.828427,2.828427,-0.17109
364,0.7245,3.265986,2.309401,-0.171085
365,0.7245,3.464102,2.0,-0.171084
366,0.7245,3.863703,1.035276,-0.171086
367,0.7245,4.0,0.0,-0.171092
368,0.8,3.265986,2.309401,-0.165632
369,0.85,0.0,4.0,-0.160084
370,0.85,3.265986,2.309401,-0.159565
371,0.85,4.0,0.0,-0.159432
372,0.9,3.265986,2.309401,-0.152261
373,1.0,3.265986,2.309401,-0.135585
374,1.0,4.0,0.0,-0.135122
375,1.5,3.265986,2.309401,-0.060466
376,1.5,4.0,0.0,-0.054617
377,0.7245,0.0,4.5,-0.172919
378,0.7245,1.164686,4.346666,-0.172909
379,0.7245,2.25,3.897114,-0.172899
380,0.7245,3.181981,3.181981,-0.172889
381,0.7245,3.674235,2.598076,-0.172883
382,0.7245,3.897114,2.25,-0.172885
383,0.7245,4.346666,1.164686,-0.172889
384,0.7245,4.5,0.0,-0.172899
385,0.5,4.082483,2.886751,-0.124247
386,0.55,4.082483,2.886751,-0.149767
387,0.6,4.082483,2.886751,-0.164567
388,0.7005,0.0,5.0,-0.174154
389,0.7005,4.082483,2.886751,-0.1741
390,0.7005,5.0,0.0,-0.174103
391,0.7245,0.0,5.0,-0.173754
392,0.7245,1.294095,4.829629,-0.173746
393,0.7245,2.5,4.330127,-0.173734
394,0.7245,3.535534,3.535534,-0.173712
395,0.7245,4.082483,2.886751,-0.173695
396,0.7245,4.330127,2.5,-0.173692
397,0.7245,4.829629,1.294095,-0.173695
398,0.7245,5.0,0.0,-0.173698
399,0.85,0.0,5.0,-0.16216
400,0.85,4.082483,2.886751,-0.162081
401,0.85,5.0,0.0,-0.162062
402,1.0,4.082483,2.886751,-0.13777
403,1.0,5.0,0.0,-0.13773
404,1.5,4.082483,2.886751,-0.057223
405,1.5,5.0,0.0,-0.056937
406,0.7245,0.0,5.5,-0.174065
407,0.7245,1.423505,5.312592,-0.174071
408,0.7245,2.75,4.76314,-0.174057
409,0.7245,3.889087,3.889087,-0.174045
410,0.7245,4.490731,3.175426,-0.174031
411,0.7245,4.76314,2.75,-0.174025
412,0.7245,5.312592,1.423505,-0.174021
413,0.7245,5.5,0.0,-0.174018
414,1.0,5.416443,0.955065,-0.138081
415,0.7005,1.359151,0.3571,-0.062908
416,0.722919,1.448283,0.67733,-0.093455
417,0.7245,1.448704,0.577067,-0.088497
418,0.7245,1.399677,0.325133,-0.07013
419,0.655525,1.271311,1.350772,-0.107844
420,0.703676,1.422163,0.98126,-0.104991
