  Nabs ijk   A/2       Y3       Z3           S f(N) sumC*C    Eex   dEl34 dE(T)  DTS  |Ddc| DbasL  Efinal
 85209 434     0.888679 1.576730 0.068360                              P .01 .985013 -.075409  -167   290   103   580  2213 -.077525
 85210 434     0.860146 1.622897 0.081554                              P .01 .984837 -.081064  -104   382    63   594  2234 -.083241
 85211 434     0.877211 1.591325 0.138507                              P .01 .984962 -.080937  -142   281   105   587  2221 -.083058
 85212 434     0.818354 1.679731 0.171437                              P .01 .984730 -.091291  -148   388    46   612  2254 -.093506
 85213 434     0.853815 1.609969 0.284605                              P .01 .984902 -.090786  -177   292    96   601  2228 -.092924
 85214 434     0.774310 1.728429 0.271783                              P .01 .984665 -.099767   -75   386    39   629  2266 -.102000
 85215 535     1.135534 2.014710 0.087349                              P .01 .989384 -.073093    -6   257    48   273  2058 -.075105
 85216 535     1.099076 2.073701 0.104207                              P .01 .989771 -.079999   -32   372    32   253  2071 -.082041
 85217 535     1.120881 2.033360 0.176981                              P .01 .990346 -.079660    -3   253    34   233  2058 -.081687
 85218 535     1.045675 2.146324 0.219058                              P .01 .989754 -.093372   -83   378    43   259  2088 -.095420
 85219 535     1.090986 2.057183 0.363662                              P .01 .990260 -.092008   -46   236    29   240  2055 -.094036
 85220 535     0.989396 2.208548 0.347278                              P .01 .989618 -.106387   -27   362    24   271  2107 -.108473
 85221 636     1.382389 2.452691 0.106338                              P .01 .991495 -.051798   -17   216    12   151  2047 -.053835
 85222 636     1.338006 2.524506 0.126861                              P .01 .990949 -.058249    10   288     4   167  2056 -.060303
 85223 636     1.364551 2.475395 0.215455                              P .01 .991395 -.057788   -19   222     8   156  2048 -.059828
 85224 636     1.272996 2.612916 0.266680                              P .01 .991681 -.071242    -2   330    13   148  2060 -.073290
 85225 636     1.328157 2.504396 0.442719                              P .01 .991181 -.069291   -14   213    -2   166  2042 -.071337
 85226 636     1.204482 2.688667 0.422773                              P .01 .991396 -.084800   -13   346    14   162  2055 -.086843
 85227 737     1.579873 2.803075 0.121529                              P .01 .990537 -.035042    -2   173   -17   142  1954 -.037015
 85228 737     1.529149 2.885149 0.144984                              P .01 .989936 -.040461   -10   267     5   159  1974 -.042432
 85229 737     1.559487 2.829023 0.246235                              P .01 .990285 -.039914    43   161   -17   151  1969 -.041901
 85230 737     1.454852 2.986189 0.304777                              P .01 .989228 -.051632     8   282    -3   184  1994 -.053631
 85231 737     1.517893 2.862167 0.505964                              P .01 .989772 -.049453    77   157    -9   170  1991 -.051454
 85232 737     1.376551 3.072763 0.483170                              P .01 .988460 -.063979   -71   307    24   217  1997 -.065954
 85233 000     0.730000 0.000000 3.203000                              P .01 .985079 -.163435   -69   243    17   560  1665 -.165088
 85234 000     0.875000 0.000000 2.675000                              P .01 .988828 -.157542    11   213    -3   346  1640 -.159189
 85235 000     1.050000 2.028444 0.506480                              P .01 .989087 -.102017   -59   263    15   301  2057 -.104062
 85236 000     1.050000 1.050000 2.868653                              P .01 .986024 -.142425    -1   209     0   430  1675 -.144104
 85237 000     0.724500 1.300000 0.000000                              P .01 .985909 -.038135    -7   218     2   597  2358 -.040498
 85238 000     0.600000 1.400000 0.000000                              P .01 .985631 -.034809   -96   255    24   654  2529 -.037321
 85239 000     0.696967 1.359151 0.357100                              P .01 .985497 -.059924   -99   309    25   639  2358 -.062264
 85240 000     0.700500 1.400000 0.000000                              P .01 .985521 -.053398   -19   235     5   623  2379 -.055779
 85241 000     0.573081 1.445123 0.679010                              P .01 .985173 -.055297   -26   445     7   695  2440 -.057737
 85242 000     0.606342 1.448704 0.577067                              P .01 .985232 -.062090   -17   426     4   679  2426 -.064519
 85243 000     0.699975 1.399677 0.325133                              P .01 .985441 -.064190   -82   385    21   637  2356 -.066532
 85244 000     0.724500 1.394673 0.122018                              P .01 .985583 -.057211  -115   402    29   614  2350 -.059538
 85245 000     0.724500 1.400000 0.000000                              P .01 .985493 -.055181   -73   251    18   616  2351 -.057520
 85246 000     0.750000 1.400000 0.000000                              P .01 .985461 -.056274  -108   266    27   610  2325 -.058578
 85247 000     0.818917 1.453139 0.063346                              P .01 .985353 -.065897  -120   280    30   592  2270 -.068143
 85248 000     0.700500 1.500000 0.000000                              P .01 .985197 -.068342   -77   238    19   637  2364 -.070693
 85249 000     0.472386 1.150278 1.353557                              d .22 .984334 -.011629    58   503   -15   780  2254 -.014072
 85250 000     0.556328 1.381286 0.994106                              d .22 .982985 -.059993  -146   555    37   863  2326 -.062476
 85251 000     0.616447 1.439422 0.782780                              P .01 .985099 -.075088   -65   453    16   684  2334 -.077413
 85252 000     0.649644 1.448721 0.678082                              P .01 .985120 -.078661   -98   451    25   672  2326 -.080969
 85253 000     0.724500 1.448889 0.388229                              P .01 .985233 -.076623  -186   405    47   640  2309 -.078892
 85254 000     0.724500 1.500000 0.000000                              P .01 .985166 -.069699   -42   233    11   630  2340 -.072035
 85255 000     0.662667 1.380979 0.898674                              P .01 .985057 -.086574   -87   430    22   677  2226 -.088785
 85256 000     0.700500 1.545481 0.414110                              P .01 .985071 -.085240  -109   443    27   648  2327 -.087547
 85257 000     0.700500 1.600000 0.000000                              P .01 .984925 -.081205   -78   246    20   648  2339 -.083532
 85258 000     0.459755 0.652572 1.753490                              d .22 .984751 -.007277  -155   611    39   749  2050 -.009456
 85259 000     0.518919 1.116938 1.441985                              d .22 .983724 -.051004   -13   497     3   811  2140 -.053322
 85260 000     0.601154 1.363508 1.091507                              d .22 .982351 -.081852  -136   535    34   896  2221 -.084239
 85261 000     0.660752 1.432433 0.879236                              P .01 .985017 -.090548   -89   443    22   675  2237 -.092769
 85262 000     0.693848 1.446854 0.772683                              P .01 .985011 -.091911   -88   415    22   666  2236 -.094132
 85263 000     0.724500 1.545481 0.414110                              P .01 .985059 -.087641  -160   448    40   641  2303 -.089910
 85264 000     0.724500 1.600000 0.000000                              P .01 .984888 -.082248   -95   239    24   640  2320 -.084551
 85265 000     0.508806 0.626514 1.815359                              d .22 .984131 -.051798  -123   611    31   780  1933 -.053875
 85266 000     0.566043 1.087947 1.523108                              d .22 .983142 -.079496   -35   501     9   840  2040 -.081715
 85267 000     0.646739 1.346615 1.181743                              d .22 .981791 -.098322   -68   469    17   922  2127 -.100638
 85268 000     0.705817 1.424785 0.969615                              P .01 .984937 -.102737  -148   401    37   667  2153 -.104860
 85269 000     0.724500 1.472243 0.850000                              P .01 .984917 -.102699  -108   390    27   660  2180 -.104859
 85270 000     0.724500 1.642074 0.439992                              P .01 .984881 -.097433  -126   427    32   643  2292 -.099701
 85271 000     0.724500 1.700000 0.000000                              P .01 .984629 -.093158   -76   238    19   650  2291 -.095436
 85272 000     0.697129 1.692423 0.857460                              P .01 .984762 -.115582   -83   429    21   654  2212 -.117780
 85273 000     0.850000 1.700000 0.000000                              P .01 .984461 -.087717  -157   267    39   612  2231 -.089915
 85274 000     0.694084 1.999822 0.667423                              P .01 .984335 -.127038  -105   383    26   662  2181 -.129199
 85275 000     2.173131 3.129125 5.189516                              P .01 .997453 -.012209    -4   128     1     8   890 -.013098
 85276 000     0.500000 1.272792 1.272792                              d .22 .983890 -.038185    48   496   -12   802  2257 -.040633
 85277 000     0.500000 1.469694 1.039230                              d .22 .983872 -.040937    17   549    -4   800  2346 -.043466
 85278 000     0.500000 1.558846 0.900000                              d .22 .983884 -.042005   -99   553    25   797  2377 -.044536
 85279 000     0.500000 1.793150 0.156880                              P .01 .984596 -.044210    -7   335     2   750  2347 -.046563
 85280 000     0.500000 1.800000 0.000000                              P .01 .984578 -.044251   -15   223     4   751  2315 -.046570
 85281 000     0.550000 1.469694 1.039230                              d .22 .983029 -.069617   -84   564    21   850  2299 -.072086
 85282 000     0.550000 1.800000 0.000000                              P .01 .984634 -.071631   -26   233     7   722  2309 -.073940
 85283 000     0.600000 0.465874 1.738666                              d .22 .983398 -.069481  -118   341    30   833  1815 -.071453
 85284 000     0.600000 0.900000 1.558846                              d .22 .982995 -.078607  -171   472    43   856  1951 -.080707
 85285 000     0.600000 1.272792 1.272792                              d .22 .982474 -.086029   -35   491     9   885  2133 -.088352
 85286 000     0.600000 1.469694 1.039230                              d .22 .982233 -.088467   -45   508    11   895  2246 -.090902
 85287 000     0.600000 1.558846 0.900000                              P .01 .984898 -.089203   -82   451    21   692  2295 -.091485
 85288 000     0.600000 1.738666 0.465874                              P .01 .984750 -.088985   -36   403     9   694  2357 -.091340
 85289 000     0.600000 1.793150 0.156880                              P .01 .984631 -.088557   -41   357    10   700  2329 -.090883
 85290 000     0.600000 1.800000 0.000000                              P .01 .984599 -.088496   -66   260    16   701  2300 -.090787
 85291 000     0.650000 1.469694 1.039230                              P .01 .984941 -.101127  -105   456    26   675  2190 -.103298
 85292 000     0.549750 0.000000 1.950750                              P .01 .986242 -.074983   -53   309    13   614  1777 -.076753
 85293 000     0.568953 0.573589 1.847153                              d .22 .983428 -.082625   -36   540     9   818  1829 -.084628
 85294 000     0.621844 1.013840 1.588761                              d .22 .982576 -.097764  -114   491    28   870  1940 -.099871
 85295 000     0.697768 1.277776 1.272301                              d .22 .981429 -.107678   -97   291    24   939  2034 -.109899
 85296 000     0.700500 1.469694 1.039230                              P .01 .984917 -.109449   -70   436    18   662  2139 -.111578
 85297 000     0.700500 1.558846 0.900000                              P .01 .984876 -.108923   -83   427    21   658  2195 -.111104
 85298 000     0.700500 1.738666 0.465874                              P .01 .984701 -.104761   -54   398    14   655  2289 -.107043
 85299 000     0.700500 1.800000 0.000000                              P .01 .984447 -.102109   -31   236     8   666  2265 -.104373
 85300 000     0.537750 0.000000 1.986750                              P .01 .986225 -.074095   -74   310    19   615  1795 -.075878
