  Nabs ijk   A/2       Y3       Z3           S f(N) sumC*C    Eex   dEl34 dE(T)  DTS  |Ddc| DbasL  Efinal
 89009 505     1.050000 0.000000 3.150000                              S .00 .999999 -.144412     0     0     0     0  1100 -.145512
 89010 505     1.150000 0.000000 3.450000                              S .00 .999999 -.129240     0     0    12     0  1089 -.130317
 89011 606     1.250000 0.000000 3.750000                              S .00 .999999 -.112321     0     0     0     0  1068 -.113389
 89012 606     1.350000 0.000000 4.050000                              S .00 .999999 -.095271     0     0     0     0  1032 -.096303
 89013 707     1.500000 0.000000 4.500000                              S .00 .999999 -.071529     0     0     0     0   958 -.072487
 89014 808     2.000000 0.000000 6.000000                              S .00 .999999 -.020815     0     0    -1     0   603 -.021419
 89015 808     2.500000 0.000000 7.500000                              S .00 .999999 -.004656     0     0   -14     0   299 -.004969
 89016 304     0.645000 0.000000 2.285000                              S .00 .999999 -.134571     0     0     1     0  1076 -.135646
 89017 304     0.710000 0.000000 2.430000                              S .00 .999999 -.149659     0     0     0     0  1077 -.150736
 89018 304     0.775000 0.000000 2.575000                              S .00 .999999 -.156764     0     0     0     0  1079 -.157843
 89019 404     0.840000 0.000000 2.720000                              S .00 .999999 -.158359     0     0     0     0  1087 -.159446
 89020 405     0.905000 0.000000 2.865000                              S .00 .999999 -.156153     0     0     0     0  1096 -.157249
 89021 505     0.970000 0.000000 3.010000                              S .00 .999999 -.151349     0     0     0     0  1102 -.152451
 89022 304     0.610000 0.000000 2.350000                              S .00 .999999 -.130737     0     0     1     0  1088 -.131824
 89023 304     0.680000 0.000000 2.490000                              S .00 .999999 -.148858     0     0     0     0  1086 -.149944
 89024 304     0.750000 0.000000 2.630000                              S .00 .999999 -.157051     0     0     0     0  1084 -.158135
 89025 405     0.820000 0.000000 2.770000                              S .00 .999999 -.158758     0     0     0     0  1086 -.159844
 89026 505     1.030000 0.000000 3.190000                              S .00 .999999 -.143991     0     0     0     0  1099 -.145090
 89027 405     0.940000 0.000000 2.960000                              S .00 .999999 -.153533     0     0     0     0  1100 -.154633
 89028 204     0.595000 0.000000 2.465000                              S .00 .999999 -.132264     0     0     0     0  1102 -.133366
 89029 304     0.665000 0.000000 2.585000                              S .00 .999999 -.150093     0     0     0     0  1093 -.151186
 89030 305     0.735000 0.000000 2.705000                              S .00 .999999 -.157866     0     0     0     0  1087 -.158953
 89031 405     0.805000 0.000000 2.825000                              S .00 .999999 -.159252     0     0     0     0  1085 -.160337
 89032 405     0.875000 0.000000 2.945000                              S .00 .999999 -.156606     0     0     0     0  1091 -.157697
 89033 505     1.015000 0.000000 3.185000                              S .00 .999999 -.144916     0     0     0     0  1099 -.146015
 89034 205     0.580000 0.000000 2.570000                              S .00 .999999 -.132041     0     0     0     0  1112 -.133153
 89035 305     0.650000 0.000000 2.680000                              S .00 .999999 -.150788     0     0     0     0  1099 -.151887
 89036 305     0.720000 0.000000 2.790000                              S .00 .999999 -.158762     0     0     0     0  1089 -.159851
 89037 405     0.790000 0.000000 2.900000                              S .00 .999999 -.159995     0     0     0     0  1083 -.161078
 89038 405     0.860000 0.000000 3.010000                              S .00 .999999 -.157048     0     0     0     0  1086 -.158134
 89039 505     1.000000 0.000000 3.230000                              S .00 .999999 -.144747     0     0     0     0  1096 -.145843
 89040 205     0.555000 0.000000 2.665000                              S .00 .999999 -.126596     0     0     0     0  1122 -.127718
 89041 305     0.630000 0.000000 2.770000                              S .00 .999999 -.150031     0     0     0     0  1104 -.151135
 89042 305     0.705000 0.000000 2.875000                              S .00 .999999 -.159558     0     0     0     0  1090 -.160648
 89043 305     0.780000 0.000000 2.980000                              S .00 .999999 -.160784     0     0     0     0  1081 -.161865
 89044 405     0.855000 0.000000 3.085000                              S .00 .999999 -.157120     0     0     0     0  1082 -.158202
 89045 505     1.005000 0.000000 3.295000                              S .00 .999999 -.142972     0     0     0     0  1094 -.144066
 89046 205     0.545000 0.000000 2.785000                              S .00 .999999 -.126240     0     0     0     0  1126 -.127366
 89047 305     0.620000 0.000000 2.880000                              S .00 .999999 -.150837     0     0     0     0  1106 -.151943
 89048 305     0.695000 0.000000 2.975000                              S .00 .999999 -.160672     0     0     0     0  1090 -.161762
 89049 305     0.770000 0.000000 3.070000                              S .00 .999999 -.161755     0     0     0     0  1078 -.162833
 89050 405     0.845000 0.000000 3.165000                              S .00 .999999 -.157726     0     0     0     0  1078 -.158804
 89051 506     0.995000 0.000000 3.355000                              S .00 .999999 -.142680     0     0     1     0  1089 -.143768
 89052 506     1.145000 0.000000 3.545000                              S .00 .999999 -.125880     0     0     0     0  1085 -.126965
 89053 206     0.535000 0.000000 2.945000                              S .00 .999999 -.125982     0     0     0     0  1126 -.127108
 89054 306     0.610000 0.000000 3.020000                              S .00 .999999 -.151790     0     0     0     0  1106 -.152896
 89055 306     0.685000 0.000000 3.095000                              S .00 .999999 -.161940     0     0     0     0  1090 -.163030
 89056 306     0.760000 0.000000 3.170000                              S .00 .999999 -.162898     0     0     0     0  1075 -.163973
 89057 406     0.835000 0.000000 3.245000                              S .00 .999999 -.158565     0     0     0     0  1072 -.159637
 89058 506     0.985000 0.000000 3.395000                              S .00 .999999 -.143011     0     0     1     0  1086 -.144096
 89059 506     1.135000 0.000000 3.545000                              S .00 .999999 -.126521     0     0     0     0  1084 -.127605
 89060 206     0.530000 0.000000 3.080000                              S .00 .999999 -.126561     0     0    -1     0  1120 -.127682
 89061 306     0.605000 0.000000 3.155000                              S .00 .999999 -.153162     0     0   -57     0  1101 -.154320
 89062 306     0.680000 0.000000 3.230000                              S .00 .999999 -.163474     0     0   -48     0  1084 -.164606
 89063 306     0.755000 0.000000 3.305000                              S .00 .999999 -.164182     0     0  -172     0  1068 -.165422
 89064 406     0.830000 0.000000 3.380000                              S .00 .999999 -.159301     0     0   -37     0  1062 -.160400
 89065 506     0.980000 0.000000 3.530000                              S .00 .999999 -.141965     0     0   -22     0  1073 -.143060
 89066 506     1.130000 0.000000 3.680000                              S .00 .999999 -.122969     0     0   -17     0  1072 -.124058
 89067 206     0.520000 0.000000 3.210000                              S .00 .999999 -.123876     0     0    -1     0  1112 -.124989
 89068 206     0.595000 0.000000 3.285000                              S .00 .999999 -.152940     0     0     0     0  1094 -.154034
 89069 306     0.670000 0.000000 3.360000                              S .00 .999999 -.164468     0     0     0     0  1078 -.165546
 89070 306     0.745000 0.000000 3.435000                              S .00 .999999 -.165634     0     0     0     0  1061 -.166695
 89071 406     0.820000 0.000000 3.510000                              S .00 .999999 -.160711     0     0     0     0  1051 -.161762
 89072 506     0.970000 0.000000 3.660000                              S .00 .999999 -.142289     0     0     0     0  1057 -.143346
 89073 506     1.120000 0.000000 3.810000                              S .00 .999999 -.121234     0     0     1     0  1055 -.122288
 89074 206     0.515000 0.000000 3.355000                              S .00 .999999 -.123407     0     0    -1     0  1099 -.124507
 89075 206     0.590000 0.000000 3.430000                              S .00 .999999 -.153645     0     0    -1     0  1081 -.154727
 89076 306     0.665000 0.000000 3.505000                              S .00 .999999 -.165679     0     0     0     0  1067 -.166746
 89077 306     0.740000 0.000000 3.580000                              S .00 .999999 -.166939     0     0     0     0  1050 -.167989
 89078 406     0.815000 0.000000 3.655000                              S .00 .999999 -.161831     0     0     0     0  1039 -.162870
 89079 506     0.965000 0.000000 3.805000                              S .00 .999999 -.142443     0     0     0     0  1041 -.143484
 89080 506     1.115000 0.000000 3.955000                              S .00 .999999 -.119751     0     0     1     0  1035 -.120785
 89081 606     1.265000 0.000000 4.105000                              S .00 .999999 -.099398     0     0     1     0  1027 -.100424
 89082 206     0.510000 0.000000 3.490000                              S .00 .999999 -.122293     0     0    -2     0  1084 -.123379
 89083 206     0.585000 0.000000 3.565000                              S .00 .999999 -.153871     0     0    -1     0  1068 -.154940
 89084 306     0.660000 0.000000 3.640000                              S .00 .999999 -.166564     0     0    -1     0  1055 -.167620
 89085 306     0.735000 0.000000 3.715000                              S .00 .999999 -.168072     0     0     0     0  1039 -.169111
 89086 406     0.810000 0.000000 3.790000                              S .00 .999999 -.162947     0     0     0     0  1027 -.163974
 89087 406     0.960000 0.000000 3.940000                              S .00 .999999 -.142995     0     0     0     0  1025 -.144020
 89088 506     1.110000 0.000000 4.090000                              S .00 .999999 -.119187     0     0     1     0  1015 -.120201
 89089 606     1.260000 0.000000 4.240000                              S .00 .999999 -.097166     0     0     1     0  1006 -.098171
 89090 207     0.505000 0.000000 3.695000                              S .00 .999999 -.121399     0     0    -2     0  1057 -.122458
 89091 207     0.580000 0.000000 3.770000                              S .00 .999999 -.154356     0     0    -1     0  1042 -.155399
 89092 307     0.655000 0.000000 3.845000                              S .00 .999999 -.167725     0     0    -1     0  1032 -.168758
 89093 307     0.730000 0.000000 3.920000                              S .00 .999999 -.169487     0     0    -1     0  1018 -.170506
 89094 407     0.805000 0.000000 3.995000                              S .00 .999999 -.164343     0     0    -1     0  1005 -.165349
 89095 407     0.955000 0.000000 4.145000                              S .00 .999999 -.143821     0     0     0     0   999 -.144820
 89096 507     1.105000 0.000000 4.295000                              S .00 .999999 -.118892     0     0     0     0   983 -.119875
 89097 607     1.255000 0.000000 4.445000                              S .00 .999999 -.095161     0     0     0     0   968 -.096129
 89098 207     0.500000 0.000000 3.910000                              S .00 .999999 -.119887     0     0    -2     0  1029 -.120918
 89099 207     0.575000 0.000000 3.985000                              S .00 .999999 -.154371     0     0    -1     0  1014 -.155386
 89100 307     0.650000 0.000000 4.060000                              S .00 .999999 -.168544     0     0    -1     0  1007 -.169552
 89101 307     0.725000 0.000000 4.135000                              S .00 .999999 -.170685     0     0     0     0   995 -.171680
 89102 407     0.800000 0.000000 4.210000                              S .00 .999999 -.165656     0     0    -1     0   983 -.166640
 89103 407     0.950000 0.000000 4.360000                              S .00 .999999 -.144880     0     0     0     0   976 -.145856
 89104 507     1.100000 0.000000 4.510000                              S .00 .999999 -.119263     0     0     0     0   955 -.120218
 89105 607     1.250000 0.000000 4.660000                              S .00 .999999 -.094437     0     0     0     0   934 -.095371
 89106 207     0.495000 0.000000 4.135000                              S .00 .999999 -.117815     0     0    -2     0  1002 -.118819
 89107 207     0.570000 0.000000 4.210000                              S .00 .999999 -.153952     0     0    -1     0   986 -.154939
 89108 307     0.645000 0.000000 4.285000                              S .00 .999999 -.169033     0     0    -1     0   980 -.170014
 89109 307     0.720000 0.000000 4.360000                              S .00 .999999 -.171651     0     0    -1     0   971 -.172623
 89110 407     0.795000 0.000000 4.435000                              S .00 .999999 -.166834     0     0    -2     0   960 -.167796
 89111 407     0.945000 0.000000 4.585000                              S .00 .999999 -.146023     0     0    -1     0   954 -.146978
 89112 507     1.095000 0.000000 4.735000                              S .00 .999999 -.120010     0     0    -1     0   931 -.120942
 89113 607     1.245000 0.000000 4.885000                              S .00 .999999 -.094514     0     0     0     0   904 -.095418
 89114 208     0.490000 0.000000 4.360000                              S .00 .999999 -.115219     0     0    -2     0   975 -.116196
 89115 208     0.565000 0.000000 4.435000                              S .00 .999999 -.153120     0     0    -1     0   957 -.154078
 89116 308     0.640000 0.000000 4.510000                              S .00 .999999 -.169196     0     0    -1     0   953 -.170150
 89117 308     0.715000 0.000000 4.585000                              S .00 .999999 -.172367     0     0   -27     0   946 -.173340
 89118 408     0.790000 0.000000 4.660000                              S .00 .999999 -.167836     0     0    -2     0   936 -.168774
 89119 408     0.940000 0.000000 4.810000                              S .00 .999999 -.147147     0     0    -1     0   933 -.148081
 89120 508     1.090000 0.000000 4.960000                              S .00 .999999 -.120933     0     0    -1     0   911 -.121845
 89121 608     1.240000 0.000000 5.110000                              S .00 .999999 -.095042     0     0    -1     0   881 -.095924
 89122 208     0.485000 0.000000 4.635000                              S .00 .999999 -.112293     0     0    -2     0   944 -.113239
 89123 208     0.560000 0.000000 4.710000                              S .00 .999999 -.152049     0     0    -1     0   925 -.152975
 89124 308     0.635000 0.000000 4.785000                              S .00 .999999 -.169181     0     0    -2     0   922 -.170105
 89125 308     0.710000 0.000000 4.860000                              S .00 .999999 -.172953     0     0    -2     0   917 -.173872
 89126 308     0.785000 0.000000 4.935000                              S .00 .999999 -.168748     0     0    -2     0   910 -.169660
 89127 408     0.935000 0.000000 5.085000                              S .00 .999999 -.148259     0     0    -2     0   912 -.149173
 89128 508     1.085000 0.000000 5.235000                              S .00 .999999 -.121935     0     0    -2     0   891 -.122828
 89129 608     1.235000 0.000000 5.385000                              S .00 .999999 -.095774     0     0    -2     0   859 -.096635
 89130 208     0.480000 0.000000 4.810000                              S .00 .999999 -.108799     0     0    -2     0   927 -.109728
 89131 208     0.555000 0.000000 4.885000                              S .00 .999999 -.150519     0     0    -1     0   906 -.151426
 89132 308     0.630000 0.000000 4.960000                              S .00 .999999 -.168786     0     0    -1     0   904 -.169691
 89133 308     0.705000 0.000000 5.035000                              S .00 .999999 -.173221     0     0   -24     0   900 -.174145
 89134 308     0.780000 0.000000 5.110000                              S .00 .999999 -.169400     0     0    -2     0   894 -.170296
 89135 408     0.930000 0.000000 5.260000                              S .00 .999999 -.149221     0     0    -2     0   899 -.150122
 89136 508     1.080000 0.000000 5.410000                              S .00 .999999 -.122903     0     0    -3     0   882 -.123788
 89137 608     1.230000 0.000000 5.560000                              S .00 .999999 -.096608     0     0    -3     0   849 -.097460
 89138 404     0.825000 0.000000 2.475000                              e .00 .999999 -.155464     0     0     0     0  1643 -.157107
 89139 404     0.878500 0.000000 2.635500                              e .00 .999999 -.157534     0     0     0     0  1642 -.159176
 89140 404     0.925000 0.000000 2.775000                              e .00 .999999 -.156284     0     0     0     0  1633 -.157917
 89141 307     0.707000 0.000000 3.878100                              e .00 .999999 -.169194     0     0     0     0  1629 -.170823
 89142 307     0.705000 0.000000 4.076100                              e .00 .999999 -.170264     0     0     0     0  1594 -.171858
 89143 307     0.703500 0.000000 4.274600                              e .00 .999999 -.171104     0     0     0     0  1552 -.172656
 89144 203     0.515000 0.000000 1.995000                              e .00 .999999 -.062924     0     0     1     0  1836 -.064759
 89145 203     0.580000 0.000000 2.140000                              e .00 .999999 -.107124     0     0     1     0  1745 -.108868
 89146 204     0.525000 0.000000 2.345000                              e .00 .999999 -.097714     0     0     1     0  1865 -.099578
 89147 204     0.455000 0.000000 2.225000                              e .00 .999999 -.037674     0     0     1     0  2037 -.039710
 89148 205     0.480000 0.000000 2.560000                              e .00 .999999 -.078844     0     0     1     0  2003 -.080846
 89149 206     0.460000 0.000000 2.870000                              e .00 .999999 -.072474     0     0     1     0  2092 -.074565
 89150 206     0.445000 0.000000 3.135000                              e .00 .999999 -.063814     0     0     1     0  2141 -.065954
 89151 206     0.435000 0.000000 3.415000                              e .00 .999999 -.057294     0     0     0     0  2148 -.059442
 89152 207     0.425000 0.000000 3.835000                              e .00 .999999 -.049384     0     0     0     0  2099 -.051483
 89153 208     0.415000 0.000000 4.285000                              e .00 .999999 -.038474     0     0    -1     0  2018 -.040493
 89154 208     0.405000 0.000000 4.735000                              e .00 .999999 -.025154     0     0    -1     0  1952 -.027107
 89155 404     0.878500 0.122562 2.631220                              e .00 .999999 -.157494     0     0     0     0  1643 -.159137
 89156 404     0.878500 0.244527 2.618401                              e .00 .999999 -.157384     0     0     0     0  1647 -.159031
 89157 212     0.585000 0.585000 1.598250                              e .00 .999999 -.047254     0     0     1     0  1901 -.049154
 89158 313     0.685000 0.685000 1.871455                              e .00 .999999 -.117714     0     0     1     0  1760 -.119473
 89159 313     0.785000 0.785000 2.144660                              e .00 .999999 -.147874     0     0     1     0  1717 -.149590
 89160 414     0.835000 0.835000 2.281262                              e .00 .999999 -.153664     0     0     1     0  1717 -.155380
 89161 414     0.885000 0.885000 2.417865                              e .00 .999999 -.155274     0     0     1     0  1709 -.156982
 89162 414     0.935000 0.935000 2.554468                              e .00 .999999 -.153754     0     0     1     0  1694 -.155447
 89163 515     0.985000 0.985000 2.691070                              e .00 .999999 -.149904     0     0     1     0  1681 -.151584
 89164 515     1.085000 1.085000 2.964275                              e .00 .999999 -.137574     0     0     0     0  1677 -.139251
 89165 616     1.235000 1.235000 3.374083                              e .00 .999999 -.113434     0     0    -2     0  1713 -.115149
 89166 616     1.335000 1.335000 3.647288                              e .00 .999999 -.096474     0     0    -4     0  1741 -.098219
 89167 213     0.500000 0.700000 1.712436                              e .00 .999999 -.037404     0     0     1     0  1985 -.039388
 89168 213     0.550000 0.780000 1.901000                              e .00 .999999 -.089614     0     0     1     0  1895 -.091508
 89169 314     0.622500 0.825000 2.051442                              e .00 .999999 -.125654     0     0     1     0  1809 -.127462
 89170 314     0.690000 0.870000 2.196884                              e .00 .999999 -.144504     0     0     1     0  1757 -.146260
 89171 314     0.757500 0.915000 2.342326                              e .00 .999999 -.153544     0     0     1     0  1728 -.155271
 89172 414     0.825000 0.960000 2.487769                              e .00 .999999 -.155924     0     0     0     0  1715 -.157639
 89173 415     0.892500 1.005000 2.633211                              e .00 .999999 -.153784     0     0     1     0  1702 -.155485
 89174 415     0.960000 1.050000 2.778653                              e .00 .999999 -.148614     0     0     1     0  1686 -.150299
 89175 215     0.485000 1.005000 2.225711                              e .00 .999999 -.077754     0     0     1     0  2020 -.079773
 89176 315     0.625000 1.045000 2.434993                              e .00 .999999 -.145204     0     0     1     0  1804 -.147007
 89177 315     0.695000 1.065000 2.539634                              e .00 .999999 -.155844     0     0     1     0  1749 -.157592
 89178 315     0.765000 1.085000 2.644275                              e .00 .999999 -.158534     0     0     0     0  1722 -.160256
 89179 415     0.835000 1.105000 2.748916                              e .00 .999999 -.156284     0     0     1     0  1714 -.157997
 89180 415     0.905000 1.125000 2.853557                              e .00 .999999 -.151034     0     0     1     0  1702 -.152735
 89181 515     1.045000 1.165000 3.062839                              e .00 .999999 -.136244     0     0     0     0  1684 -.137928
 89182 216     0.450000 1.320000 2.736307                              p .01 .987047 -.067062    24  1264    -6   538  2134 -.069208
 89183 216     0.540000 1.330000 2.843628                              e .00 .999999 -.131804     0     0     1     0  1912 -.133715
 89184 316     0.630000 1.340000 2.950948                              e .00 .999999 -.158294     0     0     0     0  1784 -.160078
 89185 316     0.720000 1.350000 3.058269                              e .00 .999999 -.164684     0     0     0     0  1716 -.166400
 89186 416     0.810000 1.360000 3.165589                              e .00 .999999 -.160274     0     0     0     0  1697 -.161971
 89187 416     0.900000 1.370000 3.272910                              e .00 .999999 -.150274     0     0     0     0  1684 -.151958
 89188 516     1.080000 1.390000 3.487551                              e .00 .999999 -.124254     0     0    -1     0  1672 -.125927
 89189 616     1.260000 1.410000 3.702192                              e .00 .999999 -.099214     0     0    -2     0  1723 -.100939
 89190 217     0.450000 1.700000 3.394486                              e .00 .999999 -.077524     0     0     0     0  2021 -.079545
 89191 217     0.550000 1.700000 3.494486                              e .00 .999999 -.144644     0     0     0     0  1778 -.146422
 89192 317     0.625000 1.700000 3.569486                              e .00 .999999 -.164484     0     0     0     0  1672 -.166156
 89193 317     0.700000 1.700000 3.644486                              e .00 .999999 -.170004     0     0     0     0  1608 -.171612
 89194 317     0.775000 1.700000 3.719486                              e .00 .999999 -.166974     0     0     0     0  1583 -.168557
 89195 417     0.900000 1.700000 3.844486                              e .00 .999999 -.151834     0     0     0     0  1567 -.153401
 89196 517     1.000000 1.700000 3.944486                              e .00 .999999 -.135604     0     0    -1     0  1547 -.137152
 89197 717     1.500000 1.700000 4.444486                              e .00 .999999 -.060604     0     0    -3     0  1656 -.062263
 89198 323     0.600000 1.039230 1.200000                              e .00 .999999 -.047774     0     0     1     0  2154 -.049927
 89199 323     0.700000 1.212436 1.400000                              e .00 .999999 -.112164     0     0     1     0  1978 -.114141
 89200 424     0.800000 1.385641 1.600000                              e .00 .999999 -.139944     0     0     1     0  1917 -.141860
 89201 424     0.850000 1.472243 1.700000                              e .00 .999999 -.145324     0     0     1     0  1903 -.147226
 89202 424     0.900000 1.558846 1.800000                              e .00 .999999 -.146834     0     0     1     0  1880 -.148713
 89203 424     0.950000 1.645448 1.900000                              e .00 .999999 -.145434     0     0     1     0  1853 -.147286
 89204 525     1.000000 1.732051 2.000000                              e .00 .999999 -.141854     0     0     1     0  1831 -.143684
 89205 525     1.100000 1.905256 2.200000                              e .00 .999999 -.130284     0     0     1     0  1815 -.132098
 89206 626     1.250000 2.165064 2.500000                              e .00 .999999 -.107514     0     0    -1     0  1836 -.109351
 89207 223     0.500000 1.212436 1.200000                              e .00 .999999 -.025064     0     0     1     0  2301 -.027364
 89208 224     0.571100 1.437602 1.401100                              e .00 .999999 -.097704     0     0     1     0  2127 -.099830
 89209 324     0.637900 1.506884 1.507900                              e .00 .999999 -.124974     0     0     1     0  2042 -.127015
 89210 324     0.704700 1.576166 1.614700                              e .00 .999999 -.140044     0     0     1     0  1977 -.142020
 89211 324     0.771500 1.645448 1.721500                              e .00 .999999 -.146924     0     0     1     0  1937 -.148860
 89212 425     0.804900 1.680089 1.774900                              e .00 .999999 -.148154     0     0     1     0  1924 -.150077
 89213 425     0.838300 1.714730 1.828300                              e .00 .999999 -.148254     0     0     1     0  1911 -.150164
 89214 425     0.871700 1.749371 1.881700                              e .00 .999999 -.147424     0     0     1     0  1897 -.149320
 89215 525     0.971900 1.853294 2.041900                              e .00 .999999 -.140894     0     0     1     0  1851 -.142744
 89216 224     0.516000 1.628128 1.456000                              e .00 .999999 -.085074     0     0     1     0  2118 -.087191
 89217 225     0.582000 1.680089 1.552000                              e .00 .999999 -.120034     0     0     1     0  2043 -.122076
 89218 325     0.648000 1.732051 1.648000                              e .00 .999999 -.139354     0     0     1     0  1985 -.141338
 89219 325     0.714000 1.784012 1.744000                              e .00 .999999 -.148554     0     0     1     0  1944 -.150497
 89220 325     0.780000 1.835974 1.840000                              e .00 .999999 -.151114     0     0     1     0  1922 -.153035
 89221 425     0.846000 1.887935 1.936000                              e .00 .999999 -.149324     0     0     1     0  1908 -.151231
 89222 425     0.912000 1.939897 2.032000                              e .00 .999999 -.144724     0     0     1     0  1883 -.146606
 89223 526     1.044000 2.043820 2.224000                              e .00 .999999 -.130884     0     0     0     0  1840 -.132724
 89224 225     0.455000 1.853294 1.525000                              e .00 .999999 -.050814     0     0     1     0  2148 -.052961
 89225 225     0.535000 1.887935 1.625000                              e .00 .999999 -.111364     0     0     1     0  2018 -.113381
 89226 325     0.615000 1.922576 1.725000                              e .00 .999999 -.140764     0     0     1     0  1957 -.142720
 89227 325     0.695000 1.957217 1.825000                              e .00 .999999 -.152484     0     0     1     0  1923 -.154406
 89228 325     0.775000 1.991858 1.925000                              e .00 .999999 -.154004     0     0     1     0  1909 -.155912
 89229 425     0.855000 2.026499 2.025000                              e .00 .999999 -.149674     0     0     1     0  1901 -.151574
 89230 426     0.935000 2.061140 2.125000                              e .00 .999999 -.142164     0     0     1     0  1874 -.144037
 89231 526     1.095000 2.130422 2.325000                              e .00 .999999 -.123544     0     0     0     0  1837 -.125381
 89232 226     0.455000 2.372910 1.825000                              e .00 .999999 -.071534     0     0     0     0  2135 -.073669
 89233 226     0.545000 2.390230 1.925000                              e .00 .999999 -.132844     0     0     0     0  1937 -.134781
 89234 326     0.635000 2.407551 2.025000                              e .00 .999999 -.157414     0     0     0     0  1845 -.159259
 89235 326     0.725000 2.424871 2.125000                              e .00 .999999 -.162594     0     0     0     0  1817 -.164411
 89236 426     0.815000 2.442192 2.225000                              e .00 .999999 -.157394     0     0     1     0  1828 -.159221
 89237 426     0.905000 2.459512 2.325000                              e .00 .999999 -.146804     0     0     0     0  1828 -.148632
 89238 526     1.085000 2.494153 2.525000                              e .00 .999999 -.119944     0     0     0     0  1807 -.121751
 89239 626     1.265000 2.528794 2.725000                              e .00 .999999 -.094144     0     0    -1     0  1837 -.095982
 89240 227     0.450000 2.944486 2.150000                              e .00 .999999 -.076404     0     0     0     0  2054 -.078458
 89241 227     0.550000 2.944486 2.250000                              e .00 .999999 -.143394     0     0     0     0  1815 -.145209
 89242 327     0.625000 2.944486 2.325000                              e .00 .999999 -.163174     0     0     0     0  1715 -.164889
 89243 327     0.700000 2.944486 2.400000                              e .00 .999999 -.168644     0     0     0     0  1662 -.170306
 89244 327     0.775000 2.944486 2.475000                              e .00 .999999 -.165574     0     0     0     0  1652 -.167226
 89245 427     0.900000 2.944486 2.600000                              e .00 .999999 -.150404     0     0     0     0  1665 -.152069
 89246 527     1.000000 2.944486 2.700000                              e .00 .999999 -.134184     0     0     0     0  1660 -.135844
 89247 727     1.500000 2.944486 3.200000                              e .00 .999999 -.059584     0     0    -1     0  1751 -.061336
 89248 333     0.750000 1.500000 0.750000                              e .00 .999999 -.102664     0     0     1     0  2191 -.104854
 89249 434     0.850000 1.700000 0.850000                              e .00 .999999 -.121814     0     0     2     0  2128 -.123940
 89250 434     0.900000 1.800000 0.900000                              e .00 .999999 -.125064     0     0     2     0  2090 -.127152
 89251 434     0.950000 1.900000 0.950000                              e .00 .999999 -.125404     0     0     2     0  2049 -.127451
 89252 535     1.000000 2.000000 1.000000                              e .00 .999999 -.123524     0     0     2     0  2015 -.125537
 89253 525     1.050000 2.100000 1.050000                              e .00 .999999 -.119984     0     0     2     0  1991 -.121973
 89254 535     1.150000 2.300000 1.150000                              e .00 .999999 -.109534     0     0     0     0  1973 -.111507
 89255 636     1.250000 2.500000 1.250000                              e .00 .999999 -.096614     0     0    -5     0  1977 -.098596
 89256 333     0.600000 1.400000 0.600000                              e .00 .999999 -.054474     0     0     1     0  2439 -.056912
 89257 434     0.790000 1.780000 0.790000                              e .00 .999999 -.121814     0     0     1     0  2175 -.123988
 89258 434     0.860000 1.920000 0.860000                              e .00 .999999 -.126774     0     0     1     0  2124 -.128897
 89259 435     0.895000 1.990000 0.895000                              e .00 .999999 -.127014     0     0     1     0  2096 -.129109
 89260 435     0.930000 2.060000 0.930000                              e .00 .999999 -.126114     0     0     1     0  2070 -.128183
 89261 535     1.000000 2.200000 1.000000                              e .00 .999999 -.121654     0     0     0     0  2029 -.123683
 89262 535     1.070000 2.340000 1.070000                              e .00 .999999 -.114704     0     0    -2     0  2007 -.116713
 89263 234     0.555000 1.780000 0.555000                              e .00 .999999 -.080194     0     0     1     0  2336 -.082529
 89264 335     0.725000 2.020000 0.725000                              e .00 .999999 -.130434     0     0     1     0  2163 -.132596
 89265 435     0.810000 2.140000 0.810000                              e .00 .999999 -.134234     0     0     1     0  2131 -.136364
 89266 435     0.895000 2.260000 0.895000                              e .00 .999999 -.131094     0     0     1     0  2096 -.133189
 89267 536     1.065000 2.500000 1.065000                              e .00 .999999 -.114224     0     0    -2     0  2019 -.116245
 89268 336     0.730000 2.480000 0.730000                              e .00 .999999 -.147744     0     0     1     0  2035 -.149778
 89269 436     0.927000 2.548000 0.927000                              e .00 .999999 -.132154     0     0     2     0  2065 -.134217
 89270 636     1.222500 2.650000 1.222500                              e .00 .999999 -.095074     0     0    -6     0  1997 -.097077
 89271 237     0.450000 3.440000 0.450000                              h .19 .987385 -.074631   -29   170     0   499  2095 -.076823
 89272 237     0.550000 3.440000 0.550000                              e .00 .999999 -.141334     0     0     0     0  1866 -.143200
 89273 337     0.625000 3.440000 0.625000                              P .01 .989151 -.160844     6   224    -7   340  1775 -.162630
 89274 337     0.700000 3.440000 0.700000                              e .00 .999999 -.166104     0     0     0     0  1735 -.167839
 89275 337     0.775000 3.440000 0.775000                              P .01 .989833 -.162810   -16   223    -8   275  1743 -.164564
 89276 437     0.900000 3.440000 0.900000                              e .00 .999999 -.147334     0     0     0     0  1789 -.149123
 89277 537     1.000000 3.440000 1.000000                              e .00 .999999 -.130884     0     0     0     0  1802 -.132686
 89278 737     1.500000 3.440000 1.500000                              e .00 .999999 -.055504     0     0    -1     0  1852 -.057357
 89279 536     1.150000 2.625000 1.150000                              e .00 .999999 -.103474     0     0     0     0  2004 -.105478
 89280 236     0.500000 2.401000 0.500000                              e .00 .999999 -.090494     0     0     1     0  2065 -.092558
