theta r1 r2 energy dipole_x dipole_y
 70.00000000 0.90000000 0.90000000 -76.14667402 0.89640692     0.00000000
130.00000000 0.90000000 0.90000000 -76.17883043 0.56434167     0.00000000
150.00000000 0.90000000 0.90000000 -76.15901398 0.37725110     0.00000000
104.52000000 0.95722800 0.95722800 -76.19811685 0.74842071     0.00000000
150.00000000 0.95722800 0.95722800 -76.16310949 0.38447201     0.00000000                                   
180.0000  0.95723  0.95723   -76.14378855    0.00000000    0.00000024
170.00000000 0.95722800 0.95722800 -76.14628150   0.13809848 -0.00000024
104.52000000 0.74084780 0.74084780 -76.03563308 0.68892905     0.00000000
104.52000000 1.16418900 1.16418900 -76.14763248 0.77185845     0.00000000
104.52000000 1.37586000 1.37586000 -76.05744076 0.73191985     0.00000000
104.52000000 1.00000000 1.00000000 -76.19556415 0.75705791     0.00000000
100.00000000 1.00000000 1.00000000 -76.19535477 0.78275319     0.00000000
90.000000000 1.00000000 1.00000000 -76.19096769 0.83482400     0.00000000
80.000000000 1.00000000 1.00000000 -76.18061130  0.88121163     0.00000000
70.000000000 1.00000000 1.00000000 -76.16357797 0.92257346     0.00000000
60.000000000 1.00000000 1.00000000 -76.13880547 0.95836197     0.00000000
50.000000000 1.00000000 1.00000000 -76.10353071 0.98512087     0.00000000    
40.000000000 1.00000000 1.00000000 -76.04820253 0.99405742     0.00000000
110.00000000 1.00000000 1.00000000 -76.19447507 0.72386340     0.00000000
120.00000000 1.00000000 1.00000000 -76.18914083 0.65675134     0.00000000
130.00000000 1.00000000 1.00000000 -76.18034574 0.57976313     0.00000000
140.00000000 1.00000000 1.00000000 -76.16933187 0.49101993     0.00000000
150.00000000 1.00000000 1.00000000 -76.15764327 0.38861390     0.00000000
160.00000000 1.00000000 1.00000000 -76.14711674 0.27130112     0.00000000
170.00000000 1.00000000 1.00000000 -76.13970497 0.14007429     0.00000000
180.00000000 1.00000000 1.00000000 -76.13701983 0.00000000     0.00000000
170.00000000 1.10000000 1.10000000 -76.10641402 0.14217863     0.00000000
175.00000000 1.10000000 1.10000000 -76.10397327  0.07182753 -0.00000011
180.00000000 1.10000000 1.10000000 -76.10313606 0.00000000     0.00000000
160.00000000 1.10000000 1.10000000 -76.11524685 0.27415817     0.00000000
140.00000000 1.10000000 1.10000000 -76.14051029 0.49461345     0.00000000
120.00000000 1.10000000 1.10000000 -76.16270081 0.66486971     0.00000000
100.00000000 1.10000000 1.10000000 -76.17177325 0.79703791     0.00000000
90.000000000 1.10000000 1.10000000 -76.16945111 0.85133106     0.00000000
80.000000000 1.10000000 1.10000000 -76.16181795 0.89865886     0.00000000
70.000000000 1.10000000 1.10000000 -76.14842058 0.93933405     0.00000000
60.000000000 1.10000000 1.10000000 -76.12873634 0.97266696     0.00000000
50.000000000 1.10000000 1.10000000 -76.10132773 0.99488612     0.00000000
40.000000000 1.10000000 1.10000000 -76.05975556  0.99532033     0.00000000
50.000000000 1.30000000 1.30000000 -76.05275591 0.99588525     0.00000000
60.000000000 1.30000000 1.30000000 -76.06807678  0.97210267     0.00000000
80.000000000 1.30000000 1.30000000 -76.08813793 0.89677877     0.00000000
90.000000000 1.30000000 1.30000000 -76.09191624 0.84596402     0.00000000
100.00000000 1.30000000 1.30000000 -76.09154243 0.78549410     0.00000000
120.00000000 1.30000000 1.30000000 -76.07943022 0.63604708     0.00000000
140.00000000 1.30000000 1.30000000 -76.05483483 0.45118306     0.00000000
160.00000000 1.30000000 1.30000000 -76.02352036 0.23406921     0.00000000
170.00000000 1.30000000 1.30000000 -76.00977761 0.11613762     0.00000000
180.00000000 1.30000000 1.30000000 -76.00367246 0.00000000     0.00000000
170.00000000 1.50000000 1.50000000 -75.92666863 -0.03574372     0.00000000
160.00000000 1.50000000 1.50000000 -75.94460598 0.08919327     0.00000000
140.00000000 1.50000000 1.50000000 -75.97541625 0.32661065     0.00000000
120.00000000 1.50000000 1.50000000 -75.99756149 0.53649144     0.00000000
110.00000000 1.50000000 1.50000000 -76.00479811 0.62759414     0.00000000
104.52000000 1.50000000 1.50000000 -76.00757985 0.67294109     0.00000000
100.00000000 1.50000000 1.50000000 -76.00921559 0.70774249     0.00000000
80.000000000 1.50000000 1.50000000 -76.00887607 0.83265928     0.00000000
60.000000000 1.50000000 1.50000000 -75.99619696 0.92449462     0.00000000
50.000000000 1.50000000 1.50000000 -75.98774698 0.97276051     0.00000000
40.000000000 1.50000000 1.50000000 -75.98255600 0.99955015     0.00000000
50.000000000 1.70000000 1.70000000 -75.92753629 0.88314383     0.00000000
40.000000000 1.70000000 1.70000000 -75.92828113 0.98260985     0.00000000
60.00000000 1.70000000 1.70000000  -75.92230287 0.75761357     0.00000000
80.00000000 1.70000000 1.70000000  -75.93067794 0.64116010     0.00000000
100.00000000 1.70000000 1.70000000 -75.94362863 0.57058650     0.00000000
104.52000000 1.70000000 1.70000000 -75.94236354 0.53513467     0.00000000
110.00000000 1.70000000 1.70000000 -75.94029434 0.48908899     0.00000000
120.00000000 1.70000000 1.70000000 -75.93510853 0.39766236     0.00000000
140.00000000 1.70000000 1.70000000 -75.92011132 0.19815767     0.00000000
160.00000000 1.70000000 1.70000000 -75.90178311 0.01935245     0.00000000
170.00000000 1.70000000 1.70000000 -75.89397220 -0.02135838     0.00000000
180.00000000 1.70000000 1.70000000 -75.88906039 0.00000000     0.00000000
104.52000000 0.90000000 1.00000000 -76.19256167 0.73239969 -0.03076592
100.00000000 0.90000000 1.00000000 -76.19190860 0.77230080 -0.02765474
90.000000000 0.90000000 1.00000000 -76.18635510 0.82315796     -0.01877234
80.000000000 0.90000000 1.00000000 -76.17450490 0.86890318     -0.01069974
70.000000000 0.90000000 1.00000000 -76.15551963 0.91046333     -0.00362709
60.000000000 0.90000000 1.00000000 -76.12807574 0.94764593     0.00199069
50.000000000 0.90000000 1.00000000 -76.08886911 0.97771081     0.00542031
40.000000000 0.90000000 1.00000000 -76.02749139  0.99342664  0.00597653
110.00000000 0.90000000 1.00000000 -76.19195533 0.71493471     -0.03732919
120.00000000 0.90000000 1.00000000 -76.18738718 0.64939653     -0.04786111
140.00000000 0.90000000 1.00000000 -76.16894035 0.48613179     -0.07152377
160.00000000 0.90000000 1.00000000 -76.14812385 0.26804651     -0.09549319
170.00000000 0.90000000 1.00000000 -76.14125955 0.13815797     -0.10393324
180.00000000 0.90000000 1.00000000 -76.13878771 0.00000000     -0.10708665
170.00000000 0.90000000 1.10000000 -76.12357616 0.14174218 -0.21454343
160.00000000 0.90000000 1.10000000 -76.13108413 0.27402261 -0.19420948                                   
140.00000000 0.90000000 1.10000000 -76.15348369 0.49390151 -0.14046322
120.00000000 0.90000000 1.10000000 -76.17341522 0.65868844 -0.09127540
110.00000000 0.90000000 1.10000000 -76.17883312 0.72520280 -0.07007989
104.52000000 0.90000000 1.10000000 -76.17998584 0.75804008 -0.05929688
100.00000000 0.90000000 1.10000000 -76.17984144 0.78342210 -0.05079720
170.00000000 0.90000000 0.90000000 -76.14353763 0.13493503     0.00000000
180.00000000 0.90000000 0.90000000 -76.14126441 0.00000000     0.00000000
160.00000000 0.90000000 0.90000000 -76.14987816 0.26236644     0.00000000
140.00000000 0.90000000 0.90000000 -76.16925181 0.47773978     0.00000000
120.00000000 0.90000000 0.90000000 -76.18613596 0.63874253     0.00000000
110.00000000 0.90000000 0.90000000 -76.18978347 0.70300777     0.00000000
104.52000000 0.90000000 0.90000000 -76.18980545 0.73467153     0.00000000
100.00000000 0.90000000 0.90000000 -76.18861489 0.75918948     0.00000000
90.00000000  0.90000000 0.90000000 -76.18165150 0.80916844     0.00000000
80.00000000  0.90000000 0.90000000 -76.16800420 0.85455103     0.00000000
60.00000000  0.90000000 0.90000000 -76.11597080 0.93458228     0.00000000
50.00000000  0.90000000 0.90000000 -76.07162489  0.96632724     0.00000000
40.00000000  0.90000000 0.90000000 -76.00057944 0.98469227     0.00000000
60.00000000  0.70000000 0.70000000 -75.82541836 0.86190610     0.00000000
80.00000000  0.70000000 0.70000000 -75.90259262 0.78425076     0.00000000
100.00000000 0.70000000 0.70000000 -75.93802099 0.69848478     0.00000000
