,theta,r1,r2,energy
129,1.0471975511965976,0.920,0.980,12995.722914907987
130,1.0471975511965976,0.920,1.000,12844.906912440523
131,1.0471975511965976,0.920,1.020,12824.27581277542
132,1.0471975511965976,0.920,1.040,12917.519812768993
133,1.0471975511965976,0.920,1.060,13110.197479181676
134,1.0471975511965976,0.920,1.080,13389.501406979247
135,1.0471975511965976,0.920,1.100,13744.056109061356
136,1.0471975511965976,0.920,1.120,14163.743635162613
137,1.0471975511965976,0.920,1.140,14639.55299122346
138,1.0471975511965976,0.920,1.160,15163.44994651584
139,1.0471975511965976,0.920,1.180,15728.264277785654
140,1.0471975511965976,0.940,0.800,23518.200974982596
141,1.0471975511965976,0.940,0.820,20992.316832886
142,1.0471975511965976,0.940,0.840,18889.944487272565
143,1.0471975511965976,0.940,0.860,17158.84977578775
144,1.0471975511965976,0.940,0.880,15753.351976222391
145,1.0471975511965976,0.940,0.900,14633.467589302736
146,1.0471975511965976,0.940,0.920,13764.164157575735
147,1.0471975511965976,0.940,0.940,13114.7111751008
148,1.0471975511965976,0.940,0.960,12658.116448127741
149,1.0471975511965976,0.940,0.980,12370.637462280076
150,1.0471975511965976,0.940,1.000,12231.35840634256
151,1.0471975511965976,0.940,1.020,12221.824504761795
152,1.0471975511965976,0.940,1.040,12325.726227572126
153,1.0471975511965976,0.940,1.060,12528.626783918628
154,1.0471975511965976,0.940,1.080,12817.727069177763
155,1.0471975511965976,0.940,1.100,13181.662930759354
156,1.0471975511965976,0.940,1.120,13610.330248396675
157,1.0471975511965976,0.940,1.140,14094.73389508255
158,1.0471975511965976,0.940,1.160,14626.857158481493
159,1.0471975511965976,0.940,1.180,15199.548663115536
160,1.0471975511965976,0.960,0.800,22970.315670646065
161,1.0471975511965976,0.960,0.820,20457.800872124695
162,1.0471975511965976,0.960,0.840,18368.811993445546
163,1.0471975511965976,0.960,0.860,16651.03012863214
164,1.0471975511965976,0.960,0.880,15258.700734925624
165,1.0471975511965976,0.960,0.900,14151.777105957799
166,1.0471975511965976,0.960,0.920,13295.173703463379
167,1.0471975511965976,0.960,0.940,12658.116448127741
168,1.0471975511965976,0.960,0.960,12213.578372389858
169,1.0471975511965976,0.960,0.980,11937.790228787211
170,1.0471975511965976,0.960,1.000,11809.816736577191
171,1.0471975511965976,0.960,1.020,11811.19014551918
172,1.0471975511965976,0.960,1.040,11925.593706377053
173,1.0471975511965976,0.960,1.060,12138.588469469625
174,1.0471975511965976,0.960,1.080,12437.377591189817
175,1.0471975511965976,0.960,1.100,12810.603018876034
176,1.0471975511965976,0.960,1.120,13248.170051231202
177,1.0471975511965976,0.960,1.140,13741.095838672054
178,1.0471975511965976,0.960,1.160,14281.378399245252
179,1.0471975511965976,0.960,1.180,14861.883184502469
180,1.0471975511965976,0.980,0.800,22596.08716315228
181,1.0471975511965976,0.980,0.820,20096.042663330576
182,1.0471975511965976,0.980,0.840,18019.628479526793
183,1.0471975511965976,0.980,0.860,16314.438034347539
184,1.0471975511965976,0.980,0.880,14934.638698244966
185,1.0471975511965976,0.980,0.900,13840.115233644168
186,1.0471975511965976,0.980,0.920,12995.722914907987
187,1.0471975511965976,0.980,0.940,12370.637462280076
188,1.0471975511965976,0.980,0.960,11937.790228787211
189,1.0471975511965976,0.980,0.980,11673.378267096665
190,1.0471975511965976,0.980,1.000,11556.439988732955
191,1.0471975511965976,0.980,1.020,11568.488119840022
192,1.0471975511965976,0.980,1.040,11693.192563689488
193,1.0471975511965976,0.980,1.060,11916.106607222748
194,1.0471975511965976,0.980,1.080,12224.430663043468
195,1.0471975511965976,0.980,1.100,12606.808424658464
196,1.0471975511965976,0.980,1.120,13053.15093600164
197,1.0471975511965976,0.980,1.140,13554.484640465333
198,1.0471975511965976,0.980,1.160,14102.819983525558
199,1.0471975511965976,0.980,1.180,14691.03760001596
200,1.0471975511965976,1.000,0.800,22374.39291420509
201,1.0471975511965976,1.000,0.820,19885.99903425554
202,1.0471975511965976,1.000,0.840,17821.410480986007
203,1.0471975511965976,1.000,0.860,16128.131828836711
204,1.0471975511965976,1.000,0.880,14760.249956606493
205,1.0471975511965976,1.000,0.900,13677.577685512046
206,1.0471975511965976,1.000,0.920,12844.906912440523
207,1.0471975511965976,1.000,0.940,12231.35840634256
208,1.0471975511965976,1.000,0.960,11809.816736577191
209,1.0471975511965976,1.000,0.980,11556.439988732955
210,1.0471975511965976,1.000,1.000,11450.235006521838
211,1.0471975511965976,1.000,1.020,11472.68988705482
212,1.0471975511965976,1.000,1.040,11607.456359297443
213,1.0471975511965976,1.000,1.060,11840.075498873115
214,1.0471975511965976,1.000,1.080,12157.740982810596
215,1.0471975511965976,1.000,1.100,12549.094770715255
216,1.0471975511965976,1.000,1.120,13004.050718912027
217,1.0471975511965976,1.000,1.140,13513.642195555178
218,1.0471975511965976,1.000,1.160,14069.890271298722
219,1.0471975511965976,1.000,1.180,14665.689515328238
220,1.0471975511965976,1.020,0.800,22286.552214113588
221,1.0471975511965976,1.020,0.820,19809.066607051398
222,1.0471975511965976,1.020,0.840,17755.614426792097
223,1.0471975511965976,1.020,0.860,16073.611624486373
224,1.0471975511965976,1.020,0.880,14717.063716182094
225,1.0471975511965976,1.020,0.900,13645.709786296957
226,1.0471975511965976,1.020,0.920,12824.27581277542
227,1.0471975511965976,1.020,0.940,12221.824504761795
228,1.0471975511965976,1.020,0.960,11811.19014551918
229,1.0471975511965976,1.020,0.980,11568.488119840022
230,1.0471975511965976,1.020,1.000,11472.68988705482
231,1.0471975511965976,1.020,1.020,11505.255147467908
232,1.0471975511965976,1.020,1.040,11649.813850006984
233,1.0471975511965976,1.020,1.060,11891.891509389763
234,1.0471975511965976,1.020,1.080,12218.672048571707
235,1.0471975511965976,1.020,1.100,12618.793062203758
236,1.0471975511965976,1.020,1.120,13082.16901417261
237,1.0471975511965976,1.020,1.140,13599.838441311887
238,1.0471975511965976,1.020,1.160,14163.831739907171
239,1.0471975511965976,1.020,1.180,14767.056565167568
240,1.0471975511965976,1.040,0.800,22316.01868570951
241,1.0471975511965976,1.040,0.820,19848.772936577203
242,1.0471975511965976,1.040,0.840,17805.826413646468
243,1.0471975511965976,1.040,0.860,16134.507766678747
244,1.0471975511965976,1.040,0.880,14788.74151895052
245,1.0471975511965976,1.040,0.900,13728.192562632983
246,1.0471975511965976,1.040,0.920,12917.519812768993
247,1.0471975511965976,1.040,0.940,12325.726227572126
248,1.0471975511965976,1.040,0.960,11925.593706377053
249,1.0471975511965976,1.040,0.980,11693.192563689488
250,1.0471975511965976,1.040,1.000,11607.456359297443
251,1.0471975511965976,1.040,1.020,11649.813850006984
252,1.0471975511965976,1.040,1.040,11803.870726821768
253,1.0471975511965976,1.040,1.060,12055.134619809274
254,1.0471975511965976,1.040,1.080,12390.77759804917
255,1.0471975511965976,1.040,1.100,12799.431069664732
256,1.0471975511965976,1.040,1.120,13271.008602000868
257,1.0471975511965976,1.040,1.140,13796.552738938408
258,1.0471975511965976,1.040,1.160,14368.102395048294
259,1.0471975511965976,1.040,1.180,14978.577858342247
260,1.0471975511965976,1.060,0.800,22448.11461120634
261,1.0471975511965976,1.060,0.820,19990.509821776934
262,1.0471975511965976,1.060,0.840,17957.494455128144
263,1.0471975511965976,1.060,0.860,16296.312017778822
264,1.0471975511965976,1.060,0.880,14960.807394432268
265,1.0471975511965976,1.060,0.900,13910.571923298558
266,1.0471975511965976,1.060,0.920,13110.197479181676
267,1.0471975511965976,1.060,0.940,12528.626783918628
268,1.0471975511965976,1.060,0.960,12138.588469469625
269,1.0471975511965976,1.060,0.980,11916.106607222748
270,1.0471975511965976,1.060,1.000,11840.075498873115
271,1.0471975511965976,1.060,1.020,11891.891509389763
272,1.0471975511965976,1.060,1.040,12055.134619809274
273,1.0471975511965976,1.060,1.060,12315.293194563603
274,1.0471975511965976,1.060,1.080,12659.526201476789
275,1.0471975511965976,1.060,1.100,13076.457798317564
276,1.0471975511965976,1.060,1.120,13555.999813005974
277,1.0471975511965976,1.060,1.140,14089.198199752936
278,1.0471975511965976,1.060,1.160,14668.100054572642
279,1.0471975511965976,1.060,1.180,15285.6382243594
280,1.0471975511965976,1.080,0.800,22669.80133482164
281,1.0471975511965976,1.080,0.820,20221.303004591726
282,1.0471975511965976,1.080,0.840,18197.697393114562
283,1.0471975511965976,1.080,0.860,16546.145638760834
284,1.0471975511965976,1.080,0.880,15220.415104452795
285,1.0471975511965976,1.080,0.900,14180.025088777924
286,1.0471975511965976,1.080,0.920,13389.501406979247
287,1.0471975511965976,1.080,0.940,12817.727069177763
288,1.0471975511965976,1.080,0.960,12437.377591189817
289,1.0471975511965976,1.080,0.980,12224.430663043468
290,1.0471975511965976,1.080,1.000,12157.740982810596
291,1.0471975511965976,1.080,1.020,12218.672048571707
292,1.0471975511965976,1.080,1.040,12390.77759804917
293,1.0471975511965976,1.080,1.060,12659.526201476789
294,1.0471975511965976,1.080,1.080,13012.06325546808
295,1.0471975511965976,1.080,1.100,13437.005299993685
296,1.0471975511965976,1.080,1.120,13924.262192330838
297,1.0471975511965976,1.080,1.140,14464.883225616897
298,1.0471975511965976,1.080,1.160,15050.923779518416
299,1.0471975511965976,1.080,1.180,15675.329540192815
300,1.0471975511965976,1.100,0.800,22969.480721269923
301,1.0471975511965976,1.100,0.820,20529.613195715232
302,1.0471975511965976,1.100,0.840,18514.945379866775
