,theta,r1,r2,energy
315,1.1344640137963142,0.84,0.92,16073.282314462622
316,1.1344640137963142,0.84,0.94,15447.186490482349
317,1.1344640137963142,0.84,0.96,15016.576508009732
318,1.1344640137963142,0.84,0.98,14757.33576623393
319,1.1344640137963142,0.84,1.0,14648.19426670424
320,1.1344640137963142,0.84,1.02,14670.366510840951
321,1.1344640137963142,0.84,1.04,14807.238230045969
322,1.1344640137963142,0.84,1.1,15767.03744393349
323,1.1344640137963142,0.84,1.12,16231.2401175898
324,1.1344640137963142,0.84,1.14,16751.336209057452
325,1.1344640137963142,0.84,1.16,17319.166843961568
326,1.1344640137963142,0.84,1.18,17927.461115330123
327,1.1344640137963142,0.86,0.8,24015.16812737916
328,1.1344640137963142,0.86,0.82,21502.437240141175
329,1.1344640137963142,0.86,0.84,19417.594631263877
330,1.1344640137963142,0.86,0.86,17708.05086243996
331,1.1344640137963142,0.86,0.9,15236.330783536388
332,1.1344640137963142,0.86,0.92,14398.371278163291
333,1.1344640137963142,0.86,0.94,13782.763874071545
334,1.1344640137963142,0.86,0.96,13362.149047292884
335,1.1344640137963142,0.86,0.98,13112.433368823986
336,1.1344640137963142,0.86,1.0,13012.37045452744
337,1.1344640137963142,0.86,1.02,13043.198265388448
338,1.1344640137963142,0.86,1.04,13188.325390191769
339,1.1344640137963142,0.86,1.06,13433.059791844087
340,1.1344640137963142,0.86,1.08,13764.37426940274
341,1.1344640137963142,0.86,1.1,14170.703586220672
342,1.1344640137963142,0.86,1.14,15168.425265524878
343,1.1344640137963142,0.86,1.16,15742.530009909857
344,1.1344640137963142,0.88,0.8,22597.298904913347
345,1.1344640137963142,0.88,0.82,20097.519243082337
346,1.1344640137963142,0.88,0.86,16327.751711428837
347,1.1344640137963142,0.88,0.88,14959.096835784112
348,1.1344640137963142,0.88,0.9,13878.872259835489
349,1.1344640137963142,0.88,0.92,13051.664293213396
350,1.1344640137963142,0.88,0.96,12035.641526021504
351,1.1344640137963142,0.88,0.98,11795.39565331224
352,1.1344640137963142,0.88,1.0,11704.399988983436
353,1.1344640137963142,0.88,1.02,11743.90674869194
354,1.1344640137963142,0.88,1.04,11897.339198566
355,1.1344640137963142,0.88,1.06,12150.020078658676
356,1.1344640137963142,0.88,1.08,12488.936839030255
357,1.1344640137963142,0.88,1.1,12902.5386245099
358,1.1344640137963142,0.88,1.12,13380.560575115003
359,1.1344640137963142,0.88,1.14,13913.871578280286
360,1.1344640137963142,0.88,1.16,14494.342120707135
361,1.1344640137963142,0.9,0.86,15236.330783536388
362,1.1344640137963142,0.9,0.88,13878.872259835489
363,1.1344640137963142,0.9,0.94,11397.571206582788
364,1.1344640137963142,0.9,0.96,10996.581749382334
365,1.1344640137963142,0.9,1.04,10893.626645621662
366,1.1344640137963142,0.9,1.06,11154.274766674964
367,1.1344640137963142,0.9,1.08,11500.827960664075
368,1.1344640137963142,0.9,1.12,12406.771363401283
369,1.1344640137963142,0.9,1.16,13533.671137386891
370,1.1344640137963142,0.9,1.18,14160.194340799815
371,1.1344640137963142,0.92,0.8,20598.715981677586
372,1.1344640137963142,0.92,0.82,18122.50815624663
373,1.1344640137963142,0.92,0.86,14398.371278163291
